时间 (CST)CST,纬度纬度,经度经度,航向航向,节,公里/小时,米,爬升率,报告设施

Airline,,,
星期五 14:09:0002:09下午    离开停机位 (PVG) @ 星期五 14:09:00 CST,,,Airline
Surface and Near-Surface,,,
滑行时间: 47 分钟,,,
星期五 14:56:0802:56下午    出发 (PVG) @ 星期五 14:56:08 CST,,,Surface and Near-Surface
星期五 14:56:0802:56下午,31.094831.09,121.8398121.84,↘ 149°,203,377,518518,,Surface and Near-Surface
FlightAware ADS-B,,,
星期五 14:57:1602:57下午,31.033531.03,121.8897121.89,↘ 145°,255,472,"1,0521052",429,FlightAware ADS-B  (PVG / ZSPD)
星期五 14:57:4602:57下午,31.004931.00,121.9147121.91,↘ 140°,260,481,"1,2191219",196,FlightAware ADS-B  (PVG / ZSPD)
星期五 14:58:0502:58下午,30.986930.99,121.9339121.93,↘ 137°,264,489,"1,2121212",-12,FlightAware ADS-B  (PVG / ZSPD)
星期五 14:58:2502:58下午,30.969130.97,121.9529121.95,↘ 138°,261,483,"1,2121212",264,FlightAware ADS-B  (PVG / ZSPD)
星期五 14:58:5002:58下午,30.946530.95,121.9770121.98,↘ 134°,265,491,"1,4101410",425,FlightAware ADS-B  (PVG / ZSPD)
星期五 14:59:0702:59下午,30.937030.94,121.9974122.00,→ 105°,273,505,"1,5091509",333,FlightAware ADS-B  (PVG / ZSPD)
星期五 14:59:2302:59下午,30.936330.94,122.0193122.02,→ 79°,278,515,"1,5931593",431,FlightAware ADS-B  (PVG / ZSPD)
星期五 14:59:4202:59下午,30.944430.94,122.0494122.05,→ 72°,290,538,"1,7601760",540,FlightAware ADS-B  (PVG / ZSPD)
星期五 15:00:0703:00下午,30.954430.95,122.0852122.09,→ 72°,299,554,"1,9891989",604,FlightAware ADS-B  (PVG / ZSPD)
星期五 15:00:3803:00下午,30.967530.97,122.1320122.13,→ 72°,304,563,"2,3242324",720,FlightAware ADS-B  (SZV / ZSSZ)
星期五 15:00:5403:00下午,30.975130.98,122.1595122.16,→ 72°,300,555,"2,5532553",758,FlightAware ADS-B  (PVG / ZSPD)
