id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4786572157781595,LAk8vwElB,5519666559,海峡之声,【“台独”顽固分子有何资格谈民主自由?必遭历史唾弃！】7月1日，国台办发言人朱凤莲答记者问。有记者问，“台独”顽固分子苏贞昌、游锡堃在香港回归祖国25周年之际攻击抹黑“一国两制”。对此有何评论?朱凤莲表示，在香港回归祖国25周年之际，“台独”顽固分子苏贞昌、游锡堃之流跳出来诋毁“一国两制”成功实践，充分暴露谋“独”分裂本质。他们颠倒黑白、欺骗舆论，为谋一党私利，操控媒体、豢养网军、打击异己、钳制舆论，为达政治目的无所不用其极，不惜以卑劣手段进行各种政治操弄，有何资格和脸面谈民主自由?香港回归祖国25周年，历经风雨，展现蓬勃生机。事实证明，“一国两制”具有强大生命力，是确保香港长期繁荣稳定、维护香港同胞福祉的好制度。在香港由乱到治、由治及兴的发展大势面前，“台独”顽固分子任何恶意攻击抹黑“一国两制”谋取政治私利的行径都是徒劳的，必将遭到历史唾弃。,,,,,3,4,2,2022-07-01 23:59,HUAWEI Mate 20,['https://wx1.sinaimg.cn/large/0061xXpZgy1h3rvbwta8uj30fr0fr41s.jpg'],,
4786572153325016,LAk8vdWZi,2486181921,阳泉日报--阳泉新闻网,【庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼隆重举行习近平出席并发表重要讲话】O庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼隆重举行习近平出席并发表重要讲话,,,,,0,0,0,2022-07-01 23:59,360安全浏览器,,,
4786572077304527,LAk8nuEeX,1972277435,博班尼察尔,虽然此时此刻在看浪姐，但是我这个王心凌男孩永远不会忘记，今天，是香港回归25周年，望祖国统一，中国万岁！,,,,,0,0,0,2022-07-01 23:59,HUAWEI Mate 20 Pro,,,
4786572040080120,LAk8k0kQg,1639498782,南方周末,#王祖蓝说熬得住是演员的本分#【王祖蓝：艺人的本分】这些年，TVB艺人的敬业、拼命成了大众热议的话题，王祖蓝谈到：“很多人赞叹香港艺人很专业、很能熬。其实来到内地遇到的那些所谓的辛苦，根本就是小事情，没有多辛苦。换句话说，这本来就是演员的本分，这是演员的基本标准，不是最高标准。”当提及为提携TVB新人到内地发展所做的工作，他说，“过去几年的默默耕耘，到2022年有一个很好的契机，就是#香港回归祖国25周年#，就能够看到成果了。”“现在炎明熹和曾比特，这些年轻人被大家看见了，其他平台就会问，你还有没有其他年轻人推荐呢？”O王祖蓝：艺人的本分,,,,"王祖蓝说熬得住是演员的本分,香港回归祖国25周年",3,11,45,2022-07-01 23:59,微博 weibo.com,['https://wx2.sinaimg.cn/large/001MXawKgy1h3rvbd8b41j61430qon1t02.jpg'],,
4786571994206296,LAk8fhEfu,1709121233,昱头Yolanda,#香港回归祖国25周年#我永远喜欢东方之珠❤️祖国的好大儿。祝你平安蓬勃～～～,,,,香港回归祖国25周年,0,18,155,2022-07-01 23:59,iPad Pro,"['https://wx4.sinaimg.cn/large/65df1ed1ly1h3rv774bvxj22001c0hdt.jpg', 'https://wx2.sinaimg.cn/large/65df1ed1ly1h3rv77qukhj22001c0hdt.jpg', 'https://wx1.sinaimg.cn/large/65df1ed1ly1h3rv767p2xj21i0200qv5.jpg', 'https://wx4.sinaimg.cn/large/65df1ed1ly1h3rv79e32tj22c0340x6p.jpg', 'https://wx1.sinaimg.cn/large/65df1ed1ly1h3rv785wknj21eo120ap6.jpg', 'https://wx4.sinaimg.cn/large/65df1ed1ly1h3rv7aunqoj23402c0hdv.jpg']",,
4786571988962711,LAk8eBBBR,2979429862,九龙坡政务,【庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼隆重举行习近平出席并发表重要讲话】O庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼隆重举行习近平出席并发表重要讲话,,,,,0,0,0,2022-07-01 23:59,360安全浏览器,,,
4786571977426879,LAk8dva4n,3758848384,萌爱兔菟,庆“七一”贺“七一”感党恩、报党情，跟党走、听党话、举旗帜、为祖国、为人民，多贡献、多努力。同祝新中国更加美好！@小冰@贾乃亮拥抱杨洋期待今年7月1日，迎接香港回归25周年、建党101周年、[理想L9][航母][父亲节][我爱老爸][今日来宠爸],,,"小冰,贾乃亮拥抱杨洋",,0,0,0,2022-07-01 23:59,OPPO智能手机,"['https://wx1.sinaimg.cn/large/e00b7980ly1h3rvb3lhnaj20k00te793.jpg', 'https://wx2.sinaimg.cn/large/e00b7980ly1h3rvb3wjzoj20hs0o5gzt.jpg', 'https://wx3.sinaimg.cn/large/e00b7980ly1h3rvb4r5cyj20u01p4tq1.jpg', 'https://wx1.sinaimg.cn/large/e00b7980ly1h3rvb55tq8j20v91voand.jpg', 'https://wx4.sinaimg.cn/large/e00b7980ly1h3rvb5rycgj20tz1edgvg.jpg', 'https://wx1.sinaimg.cn/large/e00b7980ly1h3rvb5zetdj20hs0v4jus.jpg', 'https://wx4.sinaimg.cn/large/e00b7980ly1h3rvb65l36j20hs0bujwl.jpg']",,
4786496630947902,LAiaH3YAK,1894053795,喜马拉雅豆芽,庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼隆重举行习近平出席并发表重要讲话：习近平：全面准确贯彻“一国两制”方针将为香港、澳门创造无限广阔的发展空间。“一国”原则愈坚固，“两制”优势愈彰显。O庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼隆重举行习近平出席并发表重要讲话,,,,,0,0,0,2022-07-01 18:59,iPhone客户端,,,
4786496475236607,LAiarlYhp,2723391942,海安发布,庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼隆重举行习近平出席并发表重要讲话O庆祝香港回归祖国25周年大会暨香港特别行政区第六届政府就职典礼隆重举行习近平出席并发表重要讲话,,,,,0,0,0,2022-07-01 18:59,微博 weibo.com,,,
4786496438276149,LAianyJ0h,5601629229,黄智贤星球,香港回归25周年！做中国的香港才有真正的繁荣昌盛#香港回归祖国25周年#黄智贤星球#黄智贤夜问#L黄智贤星球的微博视频,,,,"香港回归祖国25周年,黄智贤夜问",163,135,2905,2022-07-01 18:59,微博视频号,,"http://f.video.weibocdn.com/o0/KxVaQTFvlx07XhstwSeA01041202WGV50E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686592154&ssig=ftNQHL7CPy&KID=unistore,video",
