screen_name,profile_image_url,location,created_time,text
取名字不是一般难,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/e8862d02ly8gr561816d5j20ro0ro0ud.jpg?KID=imgbed,tva&Expires=1686727834&ssig=OlgqjZz3vH",四川 成都,Fri Jun 09 14:41:20  2023,先管控自媒体、营销号
吃里扒外第四权,"https://tvax3.sinaimg.cn/crop.0.0.720.720.50/7d801560ly8h8vb8lykyyj20k00k0gnp.jpg?KID=imgbed,tva&Expires=1686727834&ssig=PjVjx83wxf",江苏 苏州,Fri Jun 09 14:43:52  2023,治营销号没用停了一批还有一批 得治背后的mcn[并不简单]
小狮子--wyb,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/007Z7Y1uly8h96t4rs2bdj30rp0romxx.jpg?KID=imgbed,tva&Expires=1686727834&ssig=oJ63DLBLiz",上海 黄浦区,Sat Jun 10 06:07:10  2023,一会清朗一会征求意见你们倒是行动啊，搞到现在没有改善还越来越恶劣。平台才是滋养这些网爆的摇床，微博，豆瓣，某站这些能先整改吗，一直说不行动还不如不说免得更多人失望。
爱犯困的喵喵,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006eeTyRly8hexh9rfl53j30u00u0jtg.jpg?KID=imgbed,tva&Expires=1686727834&ssig=RDC0lkNt9s",其他,Fri Jun 09 14:50:07  2023,建议实名认证上网
我可能有些躁动,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/005uf5ghly8gmfa15wfuhj30e80e8grp.jpg?KID=imgbed,tva&Expires=1686727834&ssig=%2Bzw9djf5zt",重庆 丰都县,Fri Jun 09 15:59:14  2023,@注册不了张z 仙女顶风作案
竹子娱乐,"https://tvax3.sinaimg.cn/crop.0.0.586.586.50/0088VdlEly8hdwlgh9ouij30ga0gajst.jpg?KID=imgbed,tva&Expires=1686727834&ssig=xAgHEx70Ov",浙江,Sat Jun 10 01:49:59  2023,把微博上的营销号还有肖战的粉头先查查再说吧
戳爷的火醬,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/0061vZULly8hc07q1750zj30u00u1djl.jpg?KID=imgbed,tva&Expires=1686727834&ssig=1br%2F2vttdJ",北京,Fri Jun 09 14:53:52  2023,电报群虐猫管一下[抱抱]
七分酿月亮,"https://tvax1.sinaimg.cn/crop.0.0.1024.1024.50/007u0s0Aly8hcrzqbdxapj30sg0sggok.jpg?KID=imgbed,tva&Expires=1686727834&ssig=GW6yL9br6f",其他,Sat Jun 10 01:44:57  2023,严查明星为了控制网络舆论，黑化对手的口碑，防爆诋毁对手的作品评价，恶意组织氵jun打低分。养一些职业yxh号。
蒜蓉_西兰花,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006HmjmYly8heu7fwk89yj30u00u040w.jpg?KID=imgbed,tva&Expires=1686727834&ssig=5Plv9AsWwC",安徽 合肥,Fri Jun 09 15:21:34  2023,能不能国家搞个统一平台，跟身份证绑定，任何社交平台到账号都得从这里拿号
跳不动的兔子101,"https://tvax4.sinaimg.cn/crop.0.0.1002.1002.50/007dJe0Aly8gjhibg1ec3j30ru0ruq3o.jpg?KID=imgbed,tva&Expires=1686727834&ssig=d8pgFw9KdJ",其他,Fri Jun 09 21:09:04  2023,平台给了网暴养分，使网暴者越发猖狂，首先应对纵容网暴的平台进行法律上的约束
