screen_name,profile_image_url,location,created_time,text
__姿意摇摆,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/692b41b8ly8hdzjpkdefzj20u00u076j.jpg?KID=imgbed,tva&Expires=1686725979&ssig=e7m9elgPBo",福建 厦门,Fri Jun 09 14:12:04  2023,第一步先让那些大V跟营销号实名制吧。[揣手]
只是看起来没精神,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/b1b165a5ly8g7k9ew6vw4j20u00u0gn5.jpg?KID=imgbed,tva&Expires=1686725979&ssig=I002opYXYN",上海 杨浦区,Fri Jun 09 14:14:05  2023,@注册不了张z 这个人不严肃处理下，征求意见就没说服力
火之拳黑桃,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/a2f49a6fly8gcdorn55amj20ro0roae1.jpg?KID=imgbed,tva&Expires=1686725979&ssig=cifYdn7lo1",北京 海淀区,Fri Jun 09 14:16:00  2023,@注册不了张z     这个人可以当典型抓一下
寻雾梦游z,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006UmspJly8h5i1vhw0bvj30u00u0aeg.jpg?KID=imgbed,tva&Expires=1686725979&ssig=Vray6MD%2BFV",其他,Fri Jun 09 14:11:11  2023,@中国妇女报:警惕海量个案影响妇女形象！[太开心][太开心]
D有趣的灵魂C,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/005BDYADly8hehq0rz721j30u00u0764.jpg?KID=imgbed,tva&Expires=1686725979&ssig=wgDQ7dgnQI",福建,Fri Jun 09 14:33:03  2023,网络不是不法之地！拒绝造谣！拒绝网暴！清朗网络！
XYJ-MW,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/008wc7K4ly8heei4s7hpnj30u00u177s.jpg?KID=imgbed,tva&Expires=1686725979&ssig=NVCqIZID4d",湖南 长沙,Fri Jun 09 14:12:30  2023,先把营销号治理下
D王春宏C,"https://tvax3.sinaimg.cn/crop.0.0.960.960.50/005SlKr7ly8heovpak03xj30qo0qomyf.jpg?KID=imgbed,tva&Expires=1686725979&ssig=RX00AjU6lO",江苏,Fri Jun 09 14:46:08  2023,希望能落实到各个平台实处！尤其是娱乐圈！网络暴力屡见不鲜！
叶子橙yo,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/8c22eee8ly8h42gf34izzj20u00u0gmy.jpg?KID=imgbed,tva&Expires=1686725979&ssig=tcvtEvp99O",其他,Fri Jun 09 14:40:36  2023,网络不是不法之地！拒绝造谣！拒绝网暴！清朗网络！
徐徐知夏,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/006r5ajIly8h1co1gxwjdj30u00u0wgn.jpg?KID=imgbed,tva&Expires=1686725979&ssig=Vqjy8sHEr7",海外,Fri Jun 09 14:21:23  2023,湖北小学生妈妈的那件事网上那些人处理了吗？
YZBZHYHL,"https://tvax4.sinaimg.cn/crop.0.0.1015.1015.50/008x7JQ0ly8hcj4oveeuoj30s70s7whj.jpg?KID=imgbed,tva&Expires=1686725979&ssig=0XFskqbulX",江苏 南通,Fri Jun 09 14:12:53  2023,请落实到各个平台实处
