screen_name,profile_image_url,location,created_time,text
睡着了树丛中,"https://tvax1.sinaimg.cn/crop.0.0.1063.1063.50/008t6K8Ely8h2baybh3gwj30tj0tjgsd.jpg?KID=imgbed,tva&Expires=1686727878&ssig=xNKTKG7uut",其他,Fri Jun 09 16:58:19  2023,建议各媒体先自查，有没有内部人员推波助澜。
无悔于心LAWRENCE,"https://tvax2.sinaimg.cn/crop.0.0.689.689.50/639e548bly8h9u2fkmgnpj20j50j5dgt.jpg?KID=imgbed,tva&Expires=1686727878&ssig=jn72X0tSGF",浙江 杭州,Fri Jun 09 17:01:00  2023,建议媒体先自查，有没有收钱办事
Seelnni,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/0086QKtwly8gdi682tg3dj30u00u0jtu.jpg?KID=imgbed,tva&Expires=1686727878&ssig=hBHlvROwwF",其他,Fri Jun 09 16:58:40  2023,很简单，注册账号必须实名，同时一个身份证只能注册一个账号，效果肯定立竿见影
游自由泳的小牛,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/008f8gMtly8gvsnkv3plij30u00u075i.jpg?KID=imgbed,tva&Expires=1686727878&ssig=xtyorSzUNH",北京,Fri Jun 09 17:06:36  2023,平台，蓝V，营销号，职黑先查查吧
游鱼大魔王,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/be203281ly8gqjg3sxd46j20u00u0jvq.jpg?KID=imgbed,tva&Expires=1686727878&ssig=RAr0ulyRtw",江苏,Fri Jun 09 17:04:23  2023,川大看到没？看看你家的学生咋回事@四川大学
胖兔纸大王_,"https://tvax3.sinaimg.cn/crop.0.0.812.812.50/008vV8Zaly8hcrj4acvp1j30mk0mkwfw.jpg?KID=imgbed,tva&Expires=1686727878&ssig=q%2FjA%2BA1f3s",重庆,Fri Jun 09 17:20:49  2023,水军公司重点打击，请水军公司当网络打手的明星和企业处理一下，最好抓点典型
-一片蔚蓝-,"https://tvax4.sinaimg.cn/crop.0.0.828.828.50/5117cccfly8gjmq4m68fqj20n00n00uk.jpg?KID=imgbed,tva&Expires=1686727878&ssig=JtqVBY6r1L",四川 成都,Fri Jun 09 17:02:26  2023,先整顿微博
北京市第一中级人民法院,"https://tvax3.sinaimg.cn/crop.0.0.368.368.50/e3be8b9ely8h8vj8ixr5zj20a80a80tj.jpg?KID=imgbed,tva&Expires=1686727878&ssig=fqcm4Oh9cB",北京,Fri Jun 09 17:27:44  2023,【#依法惩治网暴#公开征求意见】
雄峙天东_,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/004hPbhcly8gtn9h2hjn9j60ro0rogox02.jpg?KID=imgbed,tva&Expires=1686727878&ssig=vwpv18jGhQ",山东 济南,Fri Jun 09 17:30:16  2023,网络越是发达，对“网暴”的惩戒就越是要重拳。
豆芽不是一棵菜,"https://tvax2.sinaimg.cn/crop.0.0.986.986.50/002iTePfly8gu82c71bdtj60re0re0ua02.jpg?KID=imgbed,tva&Expires=1686727878&ssig=omRZQDVqE8",浙江 嘉兴,Fri Jun 09 19:17:52  2023,整顿下媒体吧，没有媒体的推波助澜，吃流量也就没有网暴者网暴他人的机会。
广州金莎口腔门诊部,"https://tvax4.sinaimg.cn/crop.0.0.981.981.50/008xiMyUly8hd2ugf6sdgj30r90r9dgp.jpg?KID=imgbed,tva&Expires=1686727878&ssig=TWLRW8uK2S",其他,Fri Jun 09 16:58:47  2023,同意立法[话筒][话筒]
110106顽念x,"https://tvax3.sinaimg.cn/crop.0.0.500.500.50/d71c2efdly8hcne7qyy8yj20dw0dwq3b.jpg?KID=imgbed,tva&Expires=1686727878&ssig=RGkFDwVGsb",北京 丰台区,Fri Jun 09 17:10:33  2023,[doge]标题党 某某报不整治一下么
蜉蝣寄于天地,"https://tvax2.sinaimg.cn/crop.0.0.510.510.50/8aa8c976ly8h8nachkiadj20e70e6q3h.jpg?KID=imgbed,tva&Expires=1686727878&ssig=LPf2R6mgM0",广东 汕尾,Fri Jun 09 21:58:49  2023,势在必行，网络不是法外之地！
呱小安,"https://tva3.sinaimg.cn/crop.0.0.180.180.50/9b6d8731jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1686727878&ssig=m4W1R5h3XD",北京 东城区,Fri Jun 09 17:56:55  2023,网络发言实名制吧。从源头杜绝。
救护车演技的态度衣服,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/c102a6f8ly8hej15m142hj20u00u0taa.jpg?KID=imgbed,tva&Expires=1686727878&ssig=S9mmAVAuMv",香港 其他,Sat Jun 10 10:13:11  2023,@袁姗姗
菜鸟一一,"https://tvax3.sinaimg.cn/crop.0.0.1024.1024.50/775eb453ly8h0pijk0bwfj20sg0sgdhd.jpg?KID=imgbed,tva&Expires=1686727878&ssig=ge%2BodBef2V",其他,Fri Jun 09 17:55:02  2023,势在必行
儒雅随和的小王兲,"https://tvax2.sinaimg.cn/crop.0.0.396.396.50/007ZUSy2ly8h0jl9badvrj30b00b03ys.jpg?KID=imgbed,tva&Expires=1686727878&ssig=ZRx6IU37NB",海外 其他,Fri Jun 09 16:59:56  2023,希望能尽快落地执行
哈罗爱鲁一,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/008xiGh4ly8heiaakyxm0j30u00u0goz.jpg?KID=imgbed,tva&Expires=1686727878&ssig=JSiG7KK68p",山东,Fri Jun 09 20:30:19  2023,尽快实施
今年的冬天会下雪M,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/d55c3248ly8h7jgp6htknj20u00u0wju.jpg?KID=imgbed,tva&Expires=1686727878&ssig=3eDziu1ZPS",浙江,Fri Jun 09 19:15:43  2023,只要是网暴 侮辱 造谣 生事 都管管吧
风起头秃1,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/49e319b9ly8g7f8q85qgrj20e80e8mxq.jpg?KID=imgbed,tva&Expires=1686727878&ssig=u82pFN6fXp",北京 朝阳区,Fri Jun 09 17:25:12  2023,发一条刷一下脸！发一条输一个验证码！发一条按下指纹！
楠鸿笙,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/e241d939ly8h88ilorezqj20u00u040v.jpg?KID=imgbed,tva&Expires=1686727879&ssig=E0c4M%2F9Xv2",浙江,Fri Jun 09 17:20:50  2023,提出意见途径的电子邮箱挺方便的
龚张野桔子,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006tI8b2ly8heddjy0gbtj30u00u1wiq.jpg?KID=imgbed,tva&Expires=1686727879&ssig=jr5cahNudO",台湾,Fri Jun 09 17:07:08  2023,能不能快點？
机场守夜人XWB,"https://tvax4.sinaimg.cn/crop.0.0.1328.1328.50/0070dJcjly8fv2dqdbwiyj310w10wgod.jpg?KID=imgbed,tva&Expires=1686727879&ssig=XK0VS5xBGw",广东,Fri Jun 09 17:05:56  2023,执法力量跟得上不。。。
CHEN-小橙子茶,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/005EqZpRly8hdkuu6uq69j30u00u00ue.jpg?KID=imgbed,tva&Expires=1686727879&ssig=FSiHFVvCws",浙江 金华,Fri Jun 09 16:57:48  2023,时刻关注
心儿fay1206,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/96e822b8ly8ggyznkk6jqj20ro0rojsq.jpg?KID=imgbed,tva&Expires=1686727879&ssig=4GyBdNIpS8",广东,Fri Jun 09 17:42:21  2023,建议网络账号实名制
晴空雪妍,"https://tvax1.sinaimg.cn/crop.0.0.690.690.50/006XbYsaly8fjy4lcrwkfj30j60j6jw0.jpg?KID=imgbed,tva&Expires=1686727879&ssig=RyERvOO2x3",其他,Fri Jun 09 18:38:47  2023,先把媒体那些间谍查下。
lipi12138,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/007ukzvuly8gkb4cpvyswj30ro0roq6k.jpg?KID=imgbed,tva&Expires=1686727879&ssig=A2pTQVGSYT",广东,Fri Jun 09 18:31:26  2023,对于放任1450随意网暴的平台要不要担责，比如微博平台[怒]
momentsxxx,"https://tvax2.sinaimg.cn/crop.0.0.888.888.50/007aOOSMly8h6c2iddn35j30oo0oomx8.jpg?KID=imgbed,tva&Expires=1686727879&ssig=bj0zmsDH23",广东,Fri Jun 09 18:14:17  2023,保护个人隐私
白杨___树,"https://tva1.sinaimg.cn/crop.0.0.1440.1440.50/6adee3e1jw8evwdoylbhmj214014048q.jpg?KID=imgbed,tva&Expires=1686727879&ssig=o5tH9DTt4h",山东 菏泽,Fri Jun 09 18:13:31  2023,带V的从重处罚
-MissShui-,"https://tva2.sinaimg.cn/crop.37.27.270.270.50/bc9820bdjw1en1g8ihsohj20ci09egm8.jpg?KID=imgbed,tva&Expires=1686727879&ssig=agiEPnK%2FbR",北京 东城区,Fri Jun 09 17:57:24  2023,网络现在就是一块法外之地 个人收集证据很难 希望可以有计算机技术 侦查技术的网络警察帮助收集证据  监督网络数据
用我的事换大家的快乐,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/495e0dddly8hefc5fuqtvj20u00u0jul.jpg?KID=imgbed,tva&Expires=1686727879&ssig=CQJ0GhiYnU",辽宁,Fri Jun 09 17:48:41  2023,首先就是平台的责任，不审核，不负责，博眼球。所以第一条就是一条侮辱，网暴，转发的信息罚款100元。其次对于个人网暴言论，清空个人微博信息(包括评论他人，个人发布微博，被关注，关注他人)，对于网暴辱骂他人进行禁言，100元罚款才可以解封恢复，一个月内多次网暴每次叠加罚款解禁。@国家税务总局
春树乀暮云,"https://tvax1.sinaimg.cn/crop.0.0.750.750.50/008vpQJQly8h94ddft9gdj30ku0ku0tb.jpg?KID=imgbed,tva&Expires=1686727879&ssig=ky6Xnik%2Bo0",河南 信阳,Fri Jun 09 17:45:23  2023,互联网平台，以及各大媒体请先查查。
