screen_name,profile_image_url,location,created_time,text
戨-_-,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/b15ddcf1ly8hbayblgnrdj20u00u076c.jpg?KID=imgbed,tva&Expires=1686726318&ssig=%2BdsSxg2u4G",陕西,Fri Jun 09 14:04:18  2023,#大叔被疑偷拍自证清白后仍遭女子曝光#
御键江湖,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/6f19464cly8g98c41ygshj20ro0ro772.jpg?KID=imgbed,tva&Expires=1686726318&ssig=%2FjN8pX27Oe",上海,Fri Jun 09 14:01:17  2023,网络实名制！
正人力天,"https://tva1.sinaimg.cn/crop.127.367.1903.1903.50/681d2f4djw1e779t18ybrj21kw2dc7q0.jpg?KID=imgbed,tva&Expires=1686726318&ssig=zym%2BquclrF",陕西 西安,Fri Jun 09 14:08:10  2023,网暴的媒体管不管？
展颜卿,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/0072bioxly8gg838j7twij30e80e83yu.jpg?KID=imgbed,tva&Expires=1686726318&ssig=EnTOTFVj7B",其他,Fri Jun 09 14:05:53  2023,最新新闻，那个四川大学的女硕士网暴普通人的信息，怎么说？[吃瓜]
Cathy_0126,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/67f9dbbbly8h2cwpp9pdzj20u00u0djp.jpg?KID=imgbed,tva&Expires=1686726318&ssig=96n6mjI%2FJx",上海,Fri Jun 09 14:10:34  2023,收钱的营销号 平台 为了流量不顾真相的媒体自媒体全都要好好管管！
像夏日的风一样可爱的你,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/e836249aly8hel7szj0i1j20u00u0djl.jpg?KID=imgbed,tva&Expires=1686726318&ssig=hGyOR%2BXJsA",其他,Fri Jun 09 14:05:42  2023,[思考]是不是先把微博上一天到晚挑动对立的各种营销号端了
炒不爆的金刚蛋,"https://tvax4.sinaimg.cn/crop.0.0.617.617.50/008koHYely8hajr7a0c0mj30h50h5my0.jpg?KID=imgbed,tva&Expires=1686726318&ssig=KMNTbWoazZ",宁夏 固原,Fri Jun 09 14:14:59  2023,哪一条能保护到那个失去儿子的妈妈?请针加害者立法，而不是把受害者分成三五等立法。是个人就不应该遭到网暴
谁的红肚兜0754,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/7167093cly8hef5csibeqj20u00u078z.jpg?KID=imgbed,tva&Expires=1686726318&ssig=BwzERh5bQd",其他,Fri Jun 09 14:00:39  2023,希望实名制
__姿意摇摆,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/692b41b8ly8hdzjpkdefzj20u00u076j.jpg?KID=imgbed,tva&Expires=1686726318&ssig=3nWoBd0lpz",福建 厦门,Fri Jun 09 14:09:01  2023,微博就是网暴的摇篮[揣手][揣手]
Attack丶昔年,"https://tvax3.sinaimg.cn/crop.0.0.995.995.50/005TcxMRly8hdfbv6cng5j30rn0rn40z.jpg?KID=imgbed,tva&Expires=1686726318&ssig=znlmAfM1aJ",黑龙江,Fri Jun 09 14:10:07  2023,希望尽早立法，不要雷声大，雨点小！不要让施暴者在逍遥法外！
