screen_name,profile_image_url,location,created_time,text
格桑飞燕,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/8da9ef6djw8e72ofccngnj2050050glh.jpg?KID=imgbed,tva&Expires=1687009315&ssig=luuc5rLOhS",北京,Mon Jun 12 10:18:35  2023,立法支持 ，快点吧，不想再看到有生命因为网曝而离开这个让他心冷的世界。
潜水流无影,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/006pePRjly8ft83c8hjh2j30e80e8tac.jpg?KID=imgbed,tva&Expires=1687009315&ssig=hro86gqzAR",北京 东城区,Mon Jun 12 12:46:31  2023,有时网络暴力第一责任人就是平台，有些完全可以避免，比如扒别人信息的，第一时间就应该屏蔽，禁言，不是等扩大造成伤害，再来喊
两个世界的碰撞,"https://tva2.sinaimg.cn/crop.0.0.540.540.50/6dcd938ajw8efyhpzxcxlj20f00f0abb.jpg?KID=imgbed,tva&Expires=1687009315&ssig=uAYP%2FvLszo",江苏 苏州,Mon Jun 12 13:52:39  2023,只求流量的方式需要改一改
Nizi微,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/a165f00cly8gn87r2tp1yj20ro0ro41a.jpg?KID=imgbed,tva&Expires=1687009315&ssig=LNdtV7cdGN",北京 东城区,Mon Jun 12 11:44:33  2023,支持网暴，还有那些收钱评论的一律严打
盐盐_Catherina,"https://tvax2.sinaimg.cn/crop.0.0.864.864.50/005Ljxcaly8hd43qgopewj30o00o00up.jpg?KID=imgbed,tva&Expires=1687009315&ssig=uM0eAvjoYu",其他,Mon Jun 12 10:35:12  2023,支持网暴入刑，希望惨剧不要再发生。
A喻贝贝,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/005Qc0guly8h77ixvdiutj30u00u0ae2.jpg?KID=imgbed,tva&Expires=1687009315&ssig=V%2Bg7bVRuMZ",江苏 盐城,Mon Jun 12 13:19:48  2023,支持严惩网络暴力！！！
啊呜啊呜2200,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/0062Usbhly8h7zx4qimjtj30u00u0dhb.jpg?KID=imgbed,tva&Expires=1687009315&ssig=JH01bA1NA7",其他,Mon Jun 12 13:04:58  2023,文明上网从你我做起
软萌小猫子,"https://tvax1.sinaimg.cn/crop.0.0.533.533.50/00879UIMly8hf0ch4zkgnj30et0etwfg.jpg?KID=imgbed,tva&Expires=1687009315&ssig=U0eLKlol3f",其他,Mon Jun 12 09:56:55  2023,坚决抵制网络暴力
梦儿8181,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/005yutWZly8het35x1ylzj30u00u00u4.jpg?KID=imgbed,tva&Expires=1687009315&ssig=6PQWZftmf6",西藏,Mon Jun 12 15:52:33  2023,刘学州那时候就说了，有什么用
哇啦哇啦hoho,"https://tvax3.sinaimg.cn/crop.0.0.844.844.50/008s7fyhly8h59nfvfae6j30ng0ngq38.jpg?KID=imgbed,tva&Expires=1687009315&ssig=I38OBgV0Sq",天津,Mon Jun 12 09:34:41  2023,哈哈哈哈😂你们蛮好笑的
wcbfucivo,"https://tvax2.sinaimg.cn/crop.0.0.664.664.50/006Y90cgly8fuxe5hzuwdj30ig0igt91.jpg?KID=imgbed,tva&Expires=1687009315&ssig=qGUn6PtTdj",其他,Mon Jun 12 15:21:18  2023,要也是先处理四川大学的研究生[可爱]，别整这些没用的
flamingoOnly,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/0078sIWdly8giedt2ajx8j30u00u040v.jpg?KID=imgbed,tva&Expires=1687009315&ssig=SsZTxqdY%2Br",江苏,Mon Jun 12 12:17:57  2023,做得好
AChL2015,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/006kuGwqly8gvzfxowfyqj30ro0romzd.jpg?KID=imgbed,tva&Expires=1687009315&ssig=B3GhYlMr6l",北京 东城区,Mon Jun 12 11:54:07  2023,支持严惩网络暴力！！！
平平凡凡一路人,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/0088Di0dly8h8v65u3vnvj30u00u0myc.jpg?KID=imgbed,tva&Expires=1687009315&ssig=rnpyxsXw0t",其他,Mon Jun 12 11:34:34  2023,要不也一并看看校园暴力[揣手]
手可摘星辰的sandy,"https://tvax4.sinaimg.cn/crop.0.0.750.750.50/005Z2RZYly8gnnhg2fwauj30ku0kudgx.jpg?KID=imgbed,tva&Expires=1687009315&ssig=x%2ByHNhc2HT",上海,Mon Jun 12 11:05:10  2023,支持
开心的马骝0635,"https://tvax2.sinaimg.cn/crop.0.0.756.756.50/008y8iNMly8henn39q255j30l00l00ve.jpg?KID=imgbed,tva&Expires=1687009315&ssig=iWxuwUOCyp",其他,Mon Jun 12 10:03:12  2023,网络不是法外之地。
如意清弘,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/0089HwKoly8hent186mgsj30u00u00xd.jpg?KID=imgbed,tva&Expires=1687009315&ssig=EWmwIkdvm0",山东 济南,Mon Jun 12 09:44:04  2023,坚决向网络暴力亮剑！
米米年糕,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/007X4iuWly8hehhx1ddajj30u00u0q68.jpg?KID=imgbed,tva&Expires=1687009315&ssig=TXhwJrNGd8",其他,Mon Jun 12 09:38:13  2023,建议快点立法执法，现在的无良媒体也要进行监管
多放点炼乳,"https://tvax2.sinaimg.cn/crop.0.0.828.828.50/0086h0Pmly8gsixyzg0qrj30n00n0gmy.jpg?KID=imgbed,tva&Expires=1687009315&ssig=Nue1po%2FPv0",浙江,Thu Jun 15 14:21:27  2023,#网红主播老板曾经伤人致死#  前段时间巧乐兹夫妇被全网网暴 你们也转发了[太开心][太开心][太开心]
齐天过儿,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006cD7Idly8gv6e0awi8vj60u00u00v402.jpg?KID=imgbed,tva&Expires=1687009315&ssig=eYASuvolE7",河南,Mon Jun 12 20:20:17  2023,该怎么做呢
D郑十亿C,"https://tvax3.sinaimg.cn/crop.0.0.690.690.50/007xS98vly8hevxryc0f5j30j60j6gmx.jpg?KID=imgbed,tva&Expires=1687009316&ssig=Jlu%2FIbt2m6",上海 浦东新区,Mon Jun 12 11:43:31  2023,坚决抵制网络暴力
luckyzhaoyanyan,"https://tvax2.sinaimg.cn/crop.0.0.960.960.50/0078ni2sly8fqsmcb3paej30qo0qowh4.jpg?KID=imgbed,tva&Expires=1687009316&ssig=yWX3W3IxiG",河北,Mon Jun 12 11:40:23  2023,早日立法，拒绝网络暴力
随缘0随意,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/008fX1rbly8ha5wjwpb4gj30u00u078o.jpg?KID=imgbed,tva&Expires=1687009316&ssig=lkZ89Lb7z2",广东,Mon Jun 12 10:56:12  2023,也有一些人看到所谓的媒体人，新闻人，为了热度，为了博眼球，故意捏造一些不是事实，不是真相的假新闻出来，博流量，博热度，因此害了多少人呢？希望好好的也严查这一些假媒体人
敢大喊三声徐工吗,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/6e2778bdly8funjvbd2nzj20ro0ron24.jpg?KID=imgbed,tva&Expires=1687009316&ssig=sOj0Fg51CN",广东,Mon Jun 12 10:40:37  2023,严打小作文
Big_Ssssnake,"https://tvax1.sinaimg.cn/crop.0.0.132.132.50/0077vO1mly8fq6pensmv1j303o03o743.jpg?KID=imgbed,tva&Expires=1687009316&ssig=pIx1%2F51nB8",其他,Mon Jun 12 10:16:54  2023,四川大学的研究生，党员？？
重生之喷人之后我会反思,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_50.gif?KID=imgbed,tva&Expires=1687009316&ssig=YkMxQzwM82",其他,Mon Jun 12 12:27:13  2023,我在想，征集意见后，要多久才会出结果，看他们一个月三千块的样子，估计要五六年吧
