screen_name,profile_image_url,location,created_time,text
隻琪,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/c20152a0ly8hcib5hvc96j20u00u0mzs.jpg?KID=imgbed,tva&Expires=1686727460&ssig=xyX9qDKol%2F",广东 汕头,Fri Jun 09 23:07:20  2023,营销号处理吧！！！！！真的好爱无中生有带节奏
星星闪亮登场biu,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/007ZaWhily8hcoot00qfij30u00u0di2.jpg?KID=imgbed,tva&Expires=1686727460&ssig=hc5peG4jS%2F",其他,Fri Jun 09 23:08:05  2023,网络不是不法之地！拒绝造谣！拒绝网暴！
快乐的lsp,"https://tvax1.sinaimg.cn/crop.0.0.1002.1002.50/006CIKmXly8gm14vzj0lvj30ru0ruwhg.jpg?KID=imgbed,tva&Expires=1686727460&ssig=sIyApCbtwL",湖北,Fri Jun 09 23:07:48  2023,实名上网
怼不怼都对,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/6959ad3dly8gikp335vjij20u00u0tcv.jpg?KID=imgbed,tva&Expires=1686727460&ssig=IlPe%2BjQHLL",江苏,Fri Jun 09 23:09:41  2023,切实矫正“法不责众”的错误倾向[拳头][拳头][拳头]
莓豆预警,"https://tvax2.sinaimg.cn/crop.0.0.1023.1023.50/0076bjm2ly8hd0mohsbisj30sg0sfgsa.jpg?KID=imgbed,tva&Expires=1686727460&ssig=mw%2Fmnp96hG",福建,Fri Jun 09 23:06:53  2023,严惩！
Attack丶昔年,"https://tvax3.sinaimg.cn/crop.0.0.995.995.50/005TcxMRly8hdfbv6cng5j30rn0rn40z.jpg?KID=imgbed,tva&Expires=1686727460&ssig=3mF8KPOFqW",黑龙江,Fri Jun 09 23:09:44  2023,请加大力度谢谢！严惩网络施暴者！还网络清朗的空间！
散漫的霍普斯,"https://tvax2.sinaimg.cn/crop.0.0.720.720.50/0084Pvj5ly1h7r6l2tsydj30k00k0tas.jpg?KID=imgbed,tva&Expires=1686727460&ssig=iHTEhkNcHA",北京,Fri Jun 09 23:08:20  2023,支持！
Onlytaesan,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/008wlQqNly8hew8l9lgq6j30u00u078t.jpg?KID=imgbed,tva&Expires=1686727460&ssig=i%2BHF1Vo2Cv",黑龙江 齐齐哈尔,Fri Jun 09 23:06:42  2023,营造良好上网环境[心]
知安baby吖,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/e14d2e09ly8h1pfcxswtpj20u00u0gn3.jpg?KID=imgbed,tva&Expires=1686727460&ssig=VmcClUarPd",湖南,Fri Jun 09 23:15:16  2023,[苦涩][苦涩]受不了网暴了 赶紧出措施吧
随风行走中,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/3d1ec297ly8h1n4e4bistj20u00u0gmu.jpg?KID=imgbed,tva&Expires=1686727460&ssig=SKh%2FdkZK81",河北 唐山,Fri Jun 09 23:14:50  2023,每个人都不是看客，必须严惩
