screen_name,profile_image_url,location,created_time,text
北海游鲸鱼,"https://tvax4.sinaimg.cn/crop.0.0.1024.1024.50/008t2NMDly8hepfszwqogj30sg0sg752.jpg?KID=imgbed,tva&Expires=1687009339&ssig=9kuqKV1kE7",江苏 南京,Tue Jun 13 16:08:23  2023,大众需要中青报这样的优秀媒体
Purelove_碗盆,"https://tvax4.sinaimg.cn/crop.0.0.750.750.50/008iFm3nly8hewoecfaxbj30ku0ku76d.jpg?KID=imgbed,tva&Expires=1687009339&ssig=R7UnMFcWyY",其他,Tue Jun 13 16:25:23  2023,加油[打call]
小妍的信念,"https://tvax1.sinaimg.cn/crop.0.0.1000.1000.50/006wk25Xly8hel8phbk69j30rs0rtjst.jpg?KID=imgbed,tva&Expires=1687009339&ssig=228oM%2FPC7y",上海,Tue Jun 13 15:49:32  2023,希望加大力度惩处
我只稀罕你_,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005OHlrwly8gon1vm3gdoj30u00u0tb5.jpg?KID=imgbed,tva&Expires=1687009339&ssig=q8OjYcoMH0",海南 三亚,Tue Jun 13 17:15:31  2023,#拒绝网络暴力# 支持惩治网暴，要落到实处，别只喊口号[作揖]
天时2022,"https://tvax3.sinaimg.cn/crop.0.0.1023.1023.50/008tmTScly8ha7zqcz3dsj30sg0sfmy7.jpg?KID=imgbed,tva&Expires=1687009339&ssig=3vgZL8IRei",吉林,Tue Jun 13 15:53:52  2023,加油吧！
可以是瓜家的满天星吗,"https://tvax3.sinaimg.cn/crop.0.0.528.528.50/008y1ssSly8hcuoqm9ycdj30eo0eo0tc.jpg?KID=imgbed,tva&Expires=1687009339&ssig=MRLCflZp1b",其他,Tue Jun 13 16:45:32  2023,网络不是法外之地[加油]
走走停停看看赞赞,"https://tvax1.sinaimg.cn/crop.0.0.600.600.50/42672e53ly8h5pns092hvj20go0goq5i.jpg?KID=imgbed,tva&Expires=1687009339&ssig=9wbBUlLtCn",北京,Tue Jun 13 16:00:20  2023,网络不是法外之地，加油
烟火里的花,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/006COBzBly8fvp5oqb8w8j30e80e8my1.jpg?KID=imgbed,tva&Expires=1687009339&ssig=gAVqmeE7Ou",北京,Tue Jun 13 15:57:06  2023,网络不是法外之地
honeybee199803,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006EDGv3ly8h5fxyg8hvzj30u00u0429.jpg?KID=imgbed,tva&Expires=1687009339&ssig=%2B7M25vEcaH",云南 楚雄,Tue Jun 13 15:53:27  2023,希望赶紧落实[开学季]
希望believer,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/008uz3Hcly8he0crzjoiej30u00u0dic.jpg?KID=imgbed,tva&Expires=1687009339&ssig=uhC%2FsXcJj8",河南 开封,Tue Jun 13 16:16:43  2023,终于有人提法了啊
雁栖云深liking,"https://tvax4.sinaimg.cn/crop.0.0.600.600.50/006eoWd2ly8h5ddxq4q2fj30go0gomxs.jpg?KID=imgbed,tva&Expires=1687009339&ssig=WbnGIhug%2Fj",内蒙古,Tue Jun 13 15:47:58  2023,能不能落到实处呢
欧气天天爆棚的大可爱,"https://tvax3.sinaimg.cn/crop.0.0.960.960.50/008yw5qAly8hdz6bml95xj30qo0qoq3p.jpg?KID=imgbed,tva&Expires=1687009339&ssig=d9jwI4mgEV",云南,Tue Jun 13 15:55:20  2023,支持，请严肃惩处，落实到位!
朱算子国学易理,"https://tvax3.sinaimg.cn/crop.140.0.333.333.50/008qHvcely8gwkh92y58lj30go0dfjro.jpg?KID=imgbed,tva&Expires=1687009339&ssig=mQVqKmrafR",浙江 丽水,Tue Jun 13 15:53:13  2023,支持惩治网暴，但也要与正当的网络批评分开，不能把批评当网暴
蕾儿洋,"https://tva1.sinaimg.cn/crop.0.0.180.180.50/a248828bjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1687009340&ssig=D0GFk%2F3AnW",河北 唐山,Sun Jun 11 19:36:28  2023,达到什么程度叫情节严重呢？故意针对没完没了的纠缠，算不算？
代码民工1995,"https://tvax1.sinaimg.cn/crop.0.0.664.664.50/006XlriUly8fr9mfht7krj30ig0igtbk.jpg?KID=imgbed,tva&Expires=1687009340&ssig=0MydPklhwP",广东,Sun Jun 11 21:46:33  2023,我说了这玩意和寻衅滋事有什么区别？
幸福我把握,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/0078K1eIly8h7o7ir3zpaj30u00u0whf.jpg?KID=imgbed,tva&Expires=1687009340&ssig=ftPg0SoqXS",广东 惠州,Sat Jun 03 11:08:16  2023,太心痛了🙏🙏，严厉打击网爆暴力，网爆太可怕了。
George唐纳2,"https://tvax3.sinaimg.cn/crop.0.0.854.854.50/006KOIUSly8h28zrsff3mj30nq0nqgo8.jpg?KID=imgbed,tva&Expires=1687009340&ssig=xRl%2FOZO%2Fo4",其他,Sat Jun 03 12:34:05  2023,反网暴难度太大，目前无解。
情商高手葉衡翊Q,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/008mddyNly8gudjarbjh0j60ro0ro11302.jpg?KID=imgbed,tva&Expires=1687009340&ssig=xxCflwi0em",广东 潮州,Sat Jun 03 14:43:55  2023,[泪]希冀能还他家一个公道
nqpVIP,"https://tvax3.sinaimg.cn/crop.0.0.996.996.50/6f56f1ecly8g8iusbkkpyj20ro0rogor.jpg?KID=imgbed,tva&Expires=1687009340&ssig=MC3dB6tBkM",广西,Tue Jun 06 21:14:55  2023,网暴真的太可怕了，太痛心了
焦小宇chiao,"https://tvax2.sinaimg.cn/crop.0.0.996.996.50/006Dw68tly8ghaccz8amdj30ro0rpjuk.jpg?KID=imgbed,tva&Expires=1687009340&ssig=%2FTVPpzvP8e",河北,Sun Jun 04 20:46:35  2023,希望周律师跟有关部门提交一份网暴入刑的资料，希望网暴尽快立法🙏拜托了周律师，刘学州，粉头发女孩，叫外卖的女子，还有失去孩子被网暴跳楼的孩子妈妈[泪]网暴何时休啊[泪]
远方与明天,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006Ud8bFly8habg36rsnfj30u00u0mzj.jpg?KID=imgbed,tva&Expires=1687009340&ssig=YvXO1eZiS1",江苏 南京,Sun Jun 04 13:28:29  2023,平台禁言，网暴时平台去哪了，出事了跑出来干活，还觉得自己为反网暴做了多大的贡献[鄙视]
弯弯的月儿小小的船a,"https://tvax4.sinaimg.cn/crop.0.0.446.446.50/0062QTymly8hc7tjegz2vj30ce0ce74j.jpg?KID=imgbed,tva&Expires=1687009340&ssig=VbvE0m3qO2",山西,Sat Jun 03 21:42:29  2023,可想而知去年在唐山被打的几个女孩如果露面会遭遇什么。网暴爱好者也会说她们“打人的也被判了，还要抓着不放，一定是为了出名”。
苑当当,"https://tvax3.sinaimg.cn/crop.0.0.1002.1002.50/ab4a327cly8g7zrgmh1evj20ru0run1z.jpg?KID=imgbed,tva&Expires=1687009340&ssig=iABbUEi0Y1",山东 日照,Sat Jun 03 18:05:26  2023,每个失去孩子的父母都遭受过网暴
aigsu,"https://tvax1.sinaimg.cn/crop.0.0.970.970.50/006GvCf8ly8gic0jzr2dlj30qy0qymzf.jpg?KID=imgbed,tva&Expires=1687009340&ssig=iwGlFrZbSU",浙江 宁波,Sat Jun 03 12:48:32  2023,那个妈妈天生丽质
花开释卷088,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_50.gif?KID=imgbed,tva&Expires=1687009340&ssig=zeY8HM8%2BXF",其他,Wed Jun 07 17:38:02  2023,说白了，清朗行动就是雷声大雨点小。网爆犯罪成本太低
楚沂盈盈花盛处,"https://tvax4.sinaimg.cn/crop.0.0.664.664.50/008qrwASly8gw7mvy6uonj30ig0ig0uh.jpg?KID=imgbed,tva&Expires=1687009340&ssig=TWBUKmnG9H",其他,Wed Jun 07 13:56:35  2023,[good][good][good][good][good][good]拒绝网暴，做一个好网民，就是要守法：遵守国家的法律和互联网法规，要始终做到自重、自醒、自警、自励，不发表非法言论，不搞网络欺诈，不干网络违法活动，做到学法、懂法、守法。
s也许很远,"https://tvax4.sinaimg.cn/crop.0.0.640.640.50/0089MJCPly8gzl3dxbiltj30hs0hsjrt.jpg?KID=imgbed,tva&Expires=1687009340&ssig=1mXV0NE%2Fba",其他,Wed Jun 07 10:24:13  2023,原本没有反社会人格，但是如果我是男孩父亲，我可能真的会变成反社会，我可能真的会恨社会中的所有人
喜洋洋47019,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/005OriUhly8hcyuoi96hkj30u00u0gpg.jpg?KID=imgbed,tva&Expires=1687009340&ssig=enyPYsT1Av",其他,Sun Jun 04 00:13:43  2023,把“鄂有负能量”的儿子撞死，她就不会这样说了。
holly0908,"https://tva3.sinaimg.cn/crop.0.0.180.180.50/006kc5FJjw8fd6xkqf3q0j3050050744.jpg?KID=imgbed,tva&Expires=1687009340&ssig=fEsoCNS%2BuV",河南,Mon Jun 05 16:43:00  2023,揪出来是哪些人在花钱买热搜，买热搜的目的是什么，本来孩子死那么惨，人都有悲悯之心，没几天网上就出现大量攻击受害者妈妈的言论，我十分不理解这个妈妈遇到这么大的事没有大喊大叫还主治丈夫推肇事者，结果好多人说妈妈闹事，更不能理解说想当网红，都什么奇葩逻辑，多坏的人才能把别人想的这么坏。
超话社区,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006pQfMcly8h8v3tovfguj60u00u0q3z02.jpg?KID=imgbed,tva&Expires=1687009342&ssig=QOfh7VTeGD",北京,Sat Jun 17 11:51:28  2023,你好，你感兴趣的“拒绝网络暴力”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> #拒绝网络暴力[超话]#
婷米生0710,"https://tvax3.sinaimg.cn/crop.0.0.600.600.50/008lReWsly8hcfcvcxunqj30go0gogls.jpg?KID=imgbed,tva&Expires=1687009344&ssig=7wnsXbS864",台湾,Sat Jun 17 08:26:56  2023,看图学法、知识！！关注！！
中捷司法,"https://tvax3.sinaimg.cn/crop.291.123.600.600.50/005Iv7xCly8gdt92f9xo0j30u00u0myx.jpg?KID=imgbed,tva&Expires=1687009344&ssig=%2Bj5%2BxWnOH1",河北,Sat Jun 17 15:41:29  2023,关注@沿江检察
陇南两当县法院,"https://tvax4.sinaimg.cn/crop.0.0.599.599.50/e9202e4bly8h8vgl3f0urj20gn0gngmn.jpg?KID=imgbed,tva&Expires=1687009344&ssig=vaMRWfRVMd",甘肃,Sat Jun 17 13:40:28  2023,关注@沿江检察
北方的雪99789,"https://tvax3.sinaimg.cn/crop.0.0.1006.1006.50/0080wKBmly8ggeysno3njj30ry0ry0uy.jpg?KID=imgbed,tva&Expires=1687009344&ssig=zsaVQozO1Q",其他,Sat Jun 17 11:51:31  2023,@沿江检察
sun幽谷百合,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/ea2e409cly8hast1t6dvej20u00u0gng.jpg?KID=imgbed,tva&Expires=1687009344&ssig=EGNzr4jY%2B0",黑龙江 哈尔滨,Sat Jun 17 10:18:32  2023,[话筒][话筒][话筒]
柒陆Qilu,"https://tvax3.sinaimg.cn/crop.0.0.1002.1002.50/006e0pqCly8fwwaq970eij30ru0rujsk.jpg?KID=imgbed,tva&Expires=1687009344&ssig=saT1h76SPM",黑龙江 哈尔滨,Sat Jun 17 17:52:25  2023,[话筒][话筒][话筒]
林微风轻110,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/005RfJHQly8ga854xptxkj30ro0roq4d.jpg?KID=imgbed,tva&Expires=1687009344&ssig=wtWBXGvENr",其他,Sat Jun 17 16:23:55  2023,[微风][微风][微风]
洞洞幺指挥官,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/008exxM9ly8gvhfzzmr57j60ro0ron0g02.jpg?KID=imgbed,tva&Expires=1687009344&ssig=rAazeod6X6",其他,Sat Jun 17 15:14:41  2023,关注
印象-狠深刻,"https://tvax1.sinaimg.cn/crop.0.0.640.640.50/006TpB0yly8fhhb4psvz0j30hs0hst8z.jpg?KID=imgbed,tva&Expires=1687009344&ssig=YbPjHvqMOo",其他,Sat Jun 17 14:41:14  2023,关注[心][心][心]
感触相君,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/be260100ly8gg32we8q7gj20u00u077w.jpg?KID=imgbed,tva&Expires=1687009344&ssig=G3ZM6MeQfD",黑龙江 哈尔滨,Sat Jun 17 10:52:29  2023,沿江检察同你一起普法宣传[话筒][话筒]
我真六六六六六啊,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/005DycOuly8gvzlx40wslj30ro0roju0.jpg?KID=imgbed,tva&Expires=1687009344&ssig=p4%2Fd0Glvtu",黑龙江,Sat Jun 17 10:47:19  2023,关注
弓_长_老,"https://tvax2.sinaimg.cn/crop.0.0.402.402.50/0080yluRly8h8kkrvxfekj30b60b6glz.jpg?KID=imgbed,tva&Expires=1687009344&ssig=VJTnamm8Qc",黑龙江 哈尔滨,Sat Jun 17 07:52:33  2023,[话筒][绿丝带][绿丝带][微风][微风]
開心果晓婧,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/954e128fly8hez632oyedj20u00u074y.jpg?KID=imgbed,tva&Expires=1687009344&ssig=z2KXuHitSn",江苏,Sat Jun 17 07:44:58  2023,转发微博
2023搞钱钱,"https://tva3.sinaimg.cn/crop.428.4.441.441.50/005tsuCYgw1ex588w4i5aj311y0lcaox.jpg?KID=imgbed,tva&Expires=1687009345&ssig=Zrpd0Xt9v%2F",安徽,Fri Jun 16 18:50:24  2023,@围脖侠
超话社区,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006pQfMcly8h8v3tovfguj60u00u0q3z02.jpg?KID=imgbed,tva&Expires=1687009345&ssig=9HM2KElpC2",北京,Fri Jun 16 18:49:37  2023,你好，你感兴趣的“拒绝网络暴力”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> #拒绝网络暴力[超话]#
ruru129,"https://tvax1.sinaimg.cn/crop.0.0.924.924.50/477f4393ly8h3pzpa18inj20po0poaev.jpg?KID=imgbed,tva&Expires=1687009345&ssig=ZOKyeCuiUm",四川 成都,Fri Jun 16 17:31:27  2023,啊，咋会那么恶毒呢
