screen_name,profile_image_url,location,created_time,text
我喷了一瓶蔚蓝然后呢,"https://tvax1.sinaimg.cn/crop.0.0.178.178.50/6a67d02aly8hamt1nop5fj204y04ydfr.jpg?KID=imgbed,tva&Expires=1686728519&ssig=N83XtUX6lq",湖北,Fri Jun 09 14:18:03  2023,先把@注册不了张z 处理一下
波猪i,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/bd9ccd5bly8gorxpmlbdgj20ro0rot9t.jpg?KID=imgbed,tva&Expires=1686728519&ssig=xwYfmNu78h",广东 深圳,Fri Jun 09 14:18:02  2023,落实实名制，一人只有一个号。
吃冒菜了啊,"https://tvax2.sinaimg.cn/crop.0.0.683.683.50/49d85fefly8h786pk1fsxj20iz0izglt.jpg?KID=imgbed,tva&Expires=1686728519&ssig=KIXXXQcIgN",广东 珠海,Fri Jun 09 14:17:37  2023,处理平台
淹死的鱼-Irene,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005yuPS1ly8hehbotz837j30u00u0afi.jpg?KID=imgbed,tva&Expires=1686728519&ssig=NfpjljFZY2",江苏 徐州,Fri Jun 09 14:19:28  2023,整治平台，还有造谣引战营销号
鸭梨不要有压力呀,"https://tvax2.sinaimg.cn/crop.0.0.934.934.50/006QU4lZly8h8wreo0s6hj30py0pydgx.jpg?KID=imgbed,tva&Expires=1686728519&ssig=2y8b7ShIsH",云南 大理,Fri Jun 09 14:17:34  2023,微博账号实名，一人只有一个号
不卷了只想躺平,"https://tvax4.sinaimg.cn/crop.0.0.599.599.50/006q68qKly8hdfpkro2i3j30gn0gn3zg.jpg?KID=imgbed,tva&Expires=1686728519&ssig=hzDlCzQrPI",其他,Fri Jun 09 14:18:33  2023,实名制，一个身份证只能注册一个号
我的辣条_我做主,"https://tvax4.sinaimg.cn/crop.0.0.512.512.50/008yflLwly8hde9bgjtj6j30e80e80sz.jpg?KID=imgbed,tva&Expires=1686728519&ssig=LXi4lL3J8C",其他,Fri Jun 09 14:34:48  2023,建议先从微博入手，把那些造谣生事、侮辱谩骂以及挑事的营销号整治一下，禁言无用，最好禁止注册，还要有惩罚措施，平台也要有连带责任，太轻没人把它当回事[哼][哼][哼]
樱木浮生,"https://tvax3.sinaimg.cn/crop.0.0.508.508.50/8ac9e769ly8heub0o4qp0j20e40e4aaf.jpg?KID=imgbed,tva&Expires=1686728519&ssig=%2F4wrZan%2B5G",上海,Fri Jun 09 14:21:00  2023,网络环境越来越差之前，严格落实惩戒措施吧，不管什么年龄，任何人都要为自己的言论负责。
爱吃零食的小花花m,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/c184b2e5ly8hcgmnzpcrsj20u00u0dhw.jpg?KID=imgbed,tva&Expires=1686728519&ssig=h1d76Jc%2BVX",北京 朝阳区,Fri Jun 09 14:19:36  2023,建议也给平台施压，严查网暴行为，封禁有该行为的账号，并进行通报，起到警示作用，不能平台赚了💰，什么社会责任都不承担
爱犯困的喵喵,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/006eeTyRly8hexh9rfl53j30u00u0jtg.jpg?KID=imgbed,tva&Expires=1686728519&ssig=9bWRCBvGNC",其他,Fri Jun 09 14:17:31  2023,建议实名认证上网
