screen_name,profile_image_url,location,created_time,text
仙Daniel,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/007QFi6jly8h103r7se72j30u00u10te.jpg?KID=imgbed,tva&Expires=1686727556&ssig=49bq6PWV%2B5",北京,Tue Jun 13 10:26:30  2023,川大的事就是开端，不处理好的话 所有公共场合 效仿的人会越来越多。
霁月张疯-Shirley,"https://tvax2.sinaimg.cn/crop.0.0.752.752.50/9d4244d7ly8he2hwm5bvwj20kw0kwmxx.jpg?KID=imgbed,tva&Expires=1686727556&ssig=0yeFpvBikn",北京,Tue Jun 13 10:43:18  2023,媒体不经调查先喊凉凉之风不整顿，网暴无宁日！
隐身墨鱼,"https://tvax2.sinaimg.cn/crop.0.0.685.685.50/008fYKiGly8h9d54rn3ndj30j10j1abj.jpg?KID=imgbed,tva&Expires=1686727556&ssig=pwIpCK6tiW",四川,Tue Jun 13 10:26:52  2023,治好酒驾的不是司机素质变好了，是酒驾入刑
皮里特的蜂蜜罐,"https://tvax4.sinaimg.cn/crop.0.0.812.812.50/006HQ7BAly8h06xgtxigvj30mk0mkgnc.jpg?KID=imgbed,tva&Expires=1686727556&ssig=hRFJkTi7Vo",上海,Tue Jun 13 10:44:24  2023,少喊口号，狠抓典型案例，请付诸于行动！
不能回家的水手,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/008tHzhSly8hbq5ohepgkj30u00u0mz0.jpg?KID=imgbed,tva&Expires=1686727556&ssig=Wp6DaJ330T",其他,Tue Jun 13 10:48:09  2023,若想从根本上治理网暴，必须正视21年八月特大有组织犯罪性质的诽谤构陷网络暴力事件，否则就是口谈
看五星照耀大地的美丽喃喃,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/7688b19dly8hduxsndefsj20u00u076s.jpg?KID=imgbed,tva&Expires=1686727556&ssig=QAHtPb7KI5",山东 青岛,Tue Jun 13 10:34:51  2023,终于要重视了 多少血的教训了[喵喵]
miejueshitai007,"https://tvax2.sinaimg.cn/crop.0.0.1000.1000.50/007E08CEly8he6e2dsth2j30rs0rsmyk.jpg?KID=imgbed,tva&Expires=1686727556&ssig=3WhFJUREH9",其他,Tue Jun 13 10:44:05  2023,希望这次不是喊口号了
为何不先爱自己呢_,"https://tvax2.sinaimg.cn/crop.0.0.200.200.50/a94b1983ly8h9bwxj7mh5j205k05kjr7.jpg?KID=imgbed,tva&Expires=1686727556&ssig=aeDNKI%2BtA%2F",其他,Tue Jun 13 10:41:02  2023,zici[哆啦A梦微笑]厌烦了各种“据说”“听说是”“别人说是”“XXX说的我就是重复了一遍”[老师好]
东南亚厂妹她爹,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.50/6bc45e0aly8h30zwxj2igj20u00u00w6.jpg?KID=imgbed,tva&Expires=1686727556&ssig=BtTqzb3wZf",香港 其他,Tue Jun 13 12:06:15  2023,21年813，媒体网暴，史无前例。
胖达随便月半,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/008tWSsSly8hexhpf1yxdj30e80e83yt.jpg?KID=imgbed,tva&Expires=1686727556&ssig=YHltORfKma",其他,Tue Jun 13 10:42:55  2023,新闻一直有，口号一直喊，但甚少看到实效……希望这一次能真正看到一些趋好的迹象
月亮系出逃kk_,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/6d41c18cly8hexj0n8dvtj20u00u00un.jpg?KID=imgbed,tva&Expires=1686727556&ssig=NOIOsn5woA",山西,Tue Jun 13 10:40:53  2023,语言暴力也是暴力，坚决抵制网络暴力，请行动起来，不是说说而已
怎么让知识快速进入脑子,"https://tvax4.sinaimg.cn/crop.0.0.350.350.50/008sVE4kly8h1ndn0dylsj309q09qdfw.jpg?KID=imgbed,tva&Expires=1686727556&ssig=LKVZtT66I%2B",重庆,Tue Jun 13 10:37:41  2023,建议抓几个典型从重处理，否则没几个人当回事。
晴空雪妍,"https://tvax1.sinaimg.cn/crop.0.0.690.690.50/006XbYsaly8fjy4lcrwkfj30j60j6jw0.jpg?KID=imgbed,tva&Expires=1686727556&ssig=wNY3cXHIS%2B",其他,Tue Jun 13 10:39:36  2023,先把有些媒体和自媒体收拾去一下。还有胡锡进
爱露露的尾巴,"https://tvax2.sinaimg.cn/crop.0.0.131.131.50/008eswURly8gp88942u8tj303n03nwel.jpg?KID=imgbed,tva&Expires=1686727556&ssig=2oKNCdFfQT",其他,Tue Jun 13 10:28:54  2023,实现社会公平最基础的是实现法治公平。对这一实质问题视而不见，转而大谈你分的多了我分的少挑动群众斗群众都是社会不公平现状既得利益者的欲盖弥彰。
飒飒的小椰果,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/006YWUeuly8hakgabzjvpj30u00u0q4t.jpg?KID=imgbed,tva&Expires=1686727556&ssig=Mms4G%2BJJ0v",江苏,Tue Jun 13 10:26:54  2023,惩罚力度还是不够，不敬畏不足以约束自己！
MMM阿毛MMM,"https://tvax2.sinaimg.cn/crop.0.0.512.512.50/e83a2ad9ly8haalu8bp5sj20e80e8aak.jpg?KID=imgbed,tva&Expires=1686727556&ssig=2fEU9ztxCf",海外,Tue Jun 13 10:45:14  2023,先治那些带节奏的媒体
三年后改了这名字,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/bc634a0ely8hbltdlwz3kj20u00u0aei.jpg?KID=imgbed,tva&Expires=1686727556&ssig=Kehz8GjvIY",上海,Tue Jun 13 10:37:59  2023,有认证的专业媒体发表不实新闻，更要从重从严处罚。
