mid,text,text_cut
4662982274980456,教育不能单看空而是要理解政策 看到机会，双减最终极的指向其实是人口问题,教育 单看 理解 政策 机会 双减 最终 指向 人口
4662981624864566,"明天省厅官宣：学科类培训，线下的8月5日前结束，线上的已收费的因为疫情原因于8月25日前结束。
也就是说，双减政策从8月26日起执行。 2南京·高淳区",明天 省厅 官宣 学科 培训 线下 日前 结束 线上 收费 疫情 原因 日前 结束 双减 政策 执行 南京 高淳
4662980652041500,其实今天印发的双减政策挺好的，但是不是应该同时要求多方面呢，学校要求方面列的细细的，考试方面出题方面呢是不是也随之改变，不让家长批改是正确的，那是不是应该规范家庭教育和家长素质呢，有些东西还真不是一方面能够治的了的，但我相信那些努力的家长和孩子，尤其是他们的孩子长大以后一定会把教育方面改变得更好。 收起d,印发 双减 政策 多方面 学校 细细的 考试 出题 随之 改变 不让 家长 批改 正确 规范 家庭教育 家长 素质 东西 努力 家长 孩子 孩子 长大 教育 改变 更好
4662979465843926,#双减政策#官方永远手持政策，走在反婚反育第一线。,双减 政策 官方 永远 手持 政策 反婚 反育 第一线
4662977460707460,【坚决拥护“双减”政策，深圳校外培训机构这样表态！】各校外培训机构负责人纷纷表态，将深入领会“双减”重大意义，全面贯彻落实党的教育方针，坚决拥护党中央、国务院决策部署，正确认识机构自身功能定位，切实承担社会责任，积极谋划、加快转型成为学校教育的有益补充，坚持依法依规、诚信经营，提升管理水平和教育质量，为中小学生全面健康发展服务。（深圳教育） 收起d,坚决拥护 双减 政策 深圳 校外 培训 机构 表态 各校 培训 机构 负责人 纷纷 表态 领会 双减 重大意义 贯彻落实 教育方针 坚决拥护 党中央 国务院 决策 部署 正确认识 机构 功能定位 切实 承担 社会 责任 谋划 转型 学校 教育 有益 补充 依法 依规 诚信 经营 提升 管理水平 教育 质量 中小学生 健康 发展 服务 深圳 教育
4662977314425567,豆神教育公告，本次“双减”政策对学科培训机构性质、办学许可证、从业教师、教师资格证、培训时间、培训内容、培训形式、培训场地、培训价格、营销方式、融资方式等方面进行了严格的限制和规范，考虑到公司现有大语文学习服务业务收入占公司营业收入比例逐年增高，“双减”政策将对公司营业收入、利润产生重大不利影响。公司将认真分析研究“双减”政策，做好与监管机构以及政府部门的有效沟通和反馈，根据政策要求积极自查及整改。 收起d,豆神 教育 公告 本次 双减 政策 学科 培训 机构 性质 办学 许可证 从业 教师 教师 资格证 培训 时间 培训 内容 培训 形式 培训 场地 培训 价格 营销 方式 融资 方式 规范 公司 现有 语文 学习 服务 业务收入 公司 营业 收入 比例 逐年 增高 双减 政策 公司 营业 收入 利润 不利 影响 公司 分析 研究 双减 政策 做好 监管 机构 政府部门 沟通 反馈 政策 自查 整改
4662977292408227,发布了头条文章：《义务教育“双减”政策多牛？新东方股价狂泻40%，全面给你解读》 O义务教育“双减”政策多牛？新东方股价狂泻40%，全面给你解读,发布 头条 文章 义务教育 双减 政策 多牛 新东方 股价 狂泻 解读 义务教育 双减 政策 多牛 新东方 股价 狂泻 解读
4662977132760013,【#一张图看懂中国教培行业多大规模# 2020年13家教培机构上市 】教培“双减”政策已经落地，将规范校外培训以强化学校教育主阵地作用。由一家网站整理的中国教培行业图谱显示，在2020年已经有13家教培机构成功上市，融资达到150+亿美金。#双减意见如何规范学生作业和校外培训##教育部十答如何推进双减工作# @新浪财经 @头条新闻 @财经网 L共富财经的微博视频 收起d,一张 图看 中国 教培 行业 大规模 家教 机构 上市 教培 双减 政策 落地 规范 校外 培训 强化 学校 教育 主阵地 作用 一家 网站 整理 中国 教培 行业 图谱 显示 家教 机构 成功 上市 融资 亿美金 双减 意见 规范 学生 作业 校外 培训 教育部 十答 双减 工作 新浪 财经 头条新闻 财经网 共富 财经 微博 视频
4662976399284186,#双减# 政策是好的，但像广州民办补录还可以学校自己选择，公办还有重点班，把培训班关了就真能减负？另外就算政策执行的非常好，减负了，大家就会去生孩子?现代社会可以追求的太多了，这边钱省下了，可能去玩去享受了，可不一定去生孩子啊。,双减 政策 广州 民办 补录 学校 选择 公办 重点班 培训班 关了 真能 减负 政策 执行 减负 孩子 社会 追求 钱省 享受 可不 去生 孩子
4662976114069975,好未来 TAL “双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压，点击链接查看更多->O“双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压,未来 双减 政策 落地 股美股 教育 公司 集体 回应 影响 校外 培训 业务 承压 点击 链接 查看 更多 双减 政策 落地 股美股 教育 公司 集体 回应 影响 校外 培训 业务 承压
