id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4785861884905327,LA1EUkA6b,2875033400,昆明市总工会,【#香港经典乐曲串烧太燃了#】香港回归祖国25周年之际，北京、广州、深圳、香港四地的音乐爱好者，用吉他、钢琴、唢呐等多种乐器，“云合奏”那些记忆中的香江旋律。《东方之珠》《爱你一万年》《沧海一声笑》《红日》《海阔天空》，一起听↓祝福香港！#唢呐版沧海一声笑##香港回归祖国25周年#L央视新闻的微博视频,,,,"香港经典乐曲串烧太燃了,唢呐版沧海一声笑,香港回归祖国25周年",0,0,0,2022-06-30 00:57,微博视频号,,"http://f.video.weibocdn.com/o0/ctPcFhXUlx07XdIxJ5YI01041203hegg0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=%2FWaZJusO2X&KID=unistore,video",
4785861248679988,LA1DSAq3O,7298488441,城市追擊傳媒,#颜仟汶#(中国香港艺人)为#香港回归祖国25周年#送祝福：祝愿中国香港明天更美好！#一众艺人为香港回归祖国25周年送祝福#L城市追擊傳媒的微博视频,,,,"颜仟汶,香港回归祖国25周年,一众艺人为香港回归祖国25周年送祝福",1,1,3,2022-06-30 00:55,微博视频号,,"http://f.video.weibocdn.com/o0/bwlbMqvMlx07XerDV7Jm010412004mMU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=2Ptg2sK%2BNG&KID=unistore,video",
4785861126523697,LA1DGrn6V,7571365331,要一起0725,#周深粤语演唱祝福#以歌声传递温暖与力量庆祝香港回归25周年纪念曲《祝福》MV正式上线由@卡布叻_周深倾情演绎，祝福香港祝福祖国L咪咕音乐的微博视频[/cp],,,卡布叻_周深,周深粤语演唱祝福,0,0,0,2022-06-30 00:54,Redmi K30 全速热爱,,"http://f.video.weibocdn.com/o0/ST33cVLblx07XfAwDGys01041202Wgd90E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=fpYluFWzPv&KID=unistore,video",
4785860929127030,LA1DmCima,6429128905,追豆,真真会狠狠陷入檀健次的粤语之中！翻唱陈奕迅的单车也太好听了吧！真的深陷这个“温柔多”~庆祝香港回归祖国25周年云歌会L追豆的微博视频,,,,,0,0,1,2022-06-30 00:53,微博视频号,,"http://f.video.weibocdn.com/o0/P3qVTInOlx07XeF3wQa4010412009ihH0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=42DAdpf2nU&KID=unistore,video",
4785860811688590,LA1Db75hk,1612264077,小蘑菇汤饭有只汤圆仔,【港村日记】白天“飞”去救人，晚上回家和先生一起健身和遛狗……这是我遥不可及的梦想生活。一直都很忙，一直想为“香港回归祖国25周年”这个重要节点发点什么，可是一眨眼就忙到了此刻。聊聊最近影响我挺大的采访对象吧，就是前几天发的视频里的“香港特区政府飞行队救援队员”里唯一的女生——何沅桐，英文名Heidi。（感兴趣的可以翻下前面几条微博，视频是我去跟拍的她的一整天。）从早上八点开始，我们一起吃早饭，一起健身，她带我参观基地的装备库，中途接到紧急任务，上直升机飞赴山区索降救援，下班后我还跟她一起陪先生和狗狗一起去海边散步……一整天的相处下来，Heidi给我的感觉是“什么都刚刚好”，特别放松和妥帖。我一直在感受和她相处时这种轻松愉悦的状态，就像我跟她走在湾仔海滨，她跟我说很满意现在的生活：白天“飞”去救人，晚上回家和先生一起健身和遛狗。我说我也觉得很好。还有后半句话我没说，异地中的我真的十分羡慕。并且，我也希望我的生活，充满意义又平静。#记录香港回归25周年#,,,,记录香港回归25周年,2,8,74,2022-06-30 00:53,,"['https://wx1.sinaimg.cn/large/6019328dly1h3pljqeba4j21hc0u0aiv.jpg', 'https://wx4.sinaimg.cn/large/6019328dly1h3pljr6mp4j21hc0u046q.jpg', 'https://wx4.sinaimg.cn/large/6019328dly1h3pljs2lqpj21hc0u0wkp.jpg', 'https://wx3.sinaimg.cn/large/6019328dly1h3pljt1c4wj21hc0u0wmx.jpg', 'https://wx3.sinaimg.cn/large/6019328dly1h3plju7gc9j21hc0u0thd.jpg', 'https://wx4.sinaimg.cn/large/6019328dly1h3pljvk8apj21hc0u0k2j.jpg', 'https://wx3.sinaimg.cn/large/6019328dly1h3plkdgz0hj21hc0u00yb.jpg', 'https://wx1.sinaimg.cn/large/6019328dly1h3pljvyvmoj20gn09djsv.jpg', 'https://wx1.sinaimg.cn/large/6019328dly1h3pljwwiyfj21hc0u0jyz.jpg']",,
4785860795173336,LA1D9lHOU,6713838834,无所畏惧0725,#周深粤语演唱祝福#以歌声传递温暖与力量庆祝香港回归25周年纪念曲《祝福》MV正式上线由@卡布叻_周深倾情演绎，祝福香港祝福祖国L咪咕音乐的微博视频[/cp],,,卡布叻_周深,周深粤语演唱祝福,0,0,0,2022-06-30 00:53,Redmi K30 全速热爱,,"http://f.video.weibocdn.com/o0/ST33cVLblx07XfAwDGys01041202Wgd90E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=fpYluFWzPv&KID=unistore,video",
4785860664362955,LA1CWij0f,2875033400,昆明市总工会,【#殷殷期许寄香江#】“苏州过后无艇搭”；“要珍惜机遇、抓住机遇，把主要精力放到搞建设、谋发展上来”。习近平指出，发展是永恒的主题，是香港的立身之本，也是解决香港各种问题的金钥匙。谆谆话语含深情，#总书记心系香江#，香港明天会更好！#香港回归祖国25周年#L央视新闻的微博视频,,,,"殷殷期许寄香江,总书记心系香江,香港回归祖国25周年",0,0,0,2022-06-30 00:52,微博视频号,,"http://f.video.weibocdn.com/o0/5keeb7xhlx07XdzeJUik01041203gtgk0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=Ju2g8uRyCv&KID=unistore,video",
4785860463822659,LA1CCg2rN,7603605765,小悬崖0725929,#周深粤语演唱祝福#以歌声传递温暖与力量庆祝香港回归25周年纪念曲《祝福》MV正式上线由@卡布叻_周深倾情演绎，祝福香港祝福祖国L咪咕音乐的微博视频[/cp],,,卡布叻_周深,周深粤语演唱祝福,0,0,0,2022-06-30 00:51,Redmi K30 全速热爱,,"http://f.video.weibocdn.com/o0/ST33cVLblx07XfAwDGys01041202Wgd90E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=fpYluFWzPv&KID=unistore,video",
4785860421354620,LA1Cy5GoI,7418750671,米酒酿土豆,周深#新歌来了##周深粤语演唱祝福##一人一句为香港送祝福#祝祖国繁荣昌盛！！！也祝贺香港回归中国25周年快乐！！！！！！,,,,"新歌来了,周深粤语演唱祝福,一人一句为香港送祝福",0,0,2,2022-06-30 00:51,周深超话,['https://wx2.sinaimg.cn/large/00864jWTly1h3plkv5ft5j30qx0n045q.jpg'],,
4785983297946261,LA4OJxlbv,2164623652,文旅成都,【回忆浓！#那些年我们追过的歌#】“让海潮伴我来保佑你，请别忘记我永远不变黄色的脸”“手牵着手不分你我昂首向前走，让世界知道我们都是中国人”……熟悉的旋律响起，回忆扑面而来！#香港回归祖国25周年#，重温经典，祝福香港！L央视新闻的微博视频,,,,"那些年我们追过的歌,香港回归祖国25周年",0,0,0,2022-06-30 09:00,iPhone客户端,,"http://f.video.weibocdn.com/o0/GQxc99fXlx07XeghSo8001041200YgIo0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1686636212&ssig=%2BOa4d9mIrU&KID=unistore,video",
