screen_name,date_range,total_page,current_page,keyword,mid,uid,p_text,reposts_count,comments_count,attitudes_count
雪球投研,2021-07-24:2021-07-25,50,1,双减政策,4662982274980456,3569165071,教育不能单看空而是要理解政策 看到机会，双减最终极的指向其实是人口问题,3,4,5
淳南右史李讲郎,2021-07-24:2021-07-25,50,1,双减政策,4662981624864566,5518054991,"明天省厅官宣：学科类培训，线下的8月5日前结束，线上的已收费的因为疫情原因于8月25日前结束。
也就是说，双减政策从8月26日起执行。 2南京·高淳区",1,16,3
大磨叽李赫窄窄,2021-07-24:2021-07-25,50,1,双减政策,4662980652041500,1767456367,其实今天印发的双减政策挺好的，但是不是应该同时要求多方面呢，学校要求方面列的细细的，考试方面出题方面呢是不是也随之改变，不让家长批改是正确的，那是不是应该规范家庭教育和家长素质呢，有些东西还真不是一方面能够治的了的，但我相信那些努力的家长和孩子，尤其是他们的孩子长大以后一定会把教育方面改变得更好。 收起d,0,0,0
远行去流浪,2021-07-24:2021-07-25,50,1,双减政策,4662979465843926,1053637494,#双减政策#官方永远手持政策，走在反婚反育第一线。,0,0,0
深圳商报,2021-07-24:2021-07-25,50,2,双减政策,4662977460707460,2274567792,【坚决拥护“双减”政策，深圳校外培训机构这样表态！】各校外培训机构负责人纷纷表态，将深入领会“双减”重大意义，全面贯彻落实党的教育方针，坚决拥护党中央、国务院决策部署，正确认识机构自身功能定位，切实承担社会责任，积极谋划、加快转型成为学校教育的有益补充，坚持依法依规、诚信经营，提升管理水平和教育质量，为中小学生全面健康发展服务。（深圳教育） 收起d,3,6,3
股市中的F先生,2021-07-24:2021-07-25,50,2,双减政策,4662977314425567,5699132008,豆神教育公告，本次“双减”政策对学科培训机构性质、办学许可证、从业教师、教师资格证、培训时间、培训内容、培训形式、培训场地、培训价格、营销方式、融资方式等方面进行了严格的限制和规范，考虑到公司现有大语文学习服务业务收入占公司营业收入比例逐年增高，“双减”政策将对公司营业收入、利润产生重大不利影响。公司将认真分析研究“双减”政策，做好与监管机构以及政府部门的有效沟通和反馈，根据政策要求积极自查及整改。 收起d,0,0,0
外语那点事,2021-07-24:2021-07-25,50,2,双减政策,4662977292408227,2641125877,发布了头条文章：《义务教育“双减”政策多牛？新东方股价狂泻40%，全面给你解读》 O义务教育“双减”政策多牛？新东方股价狂泻40%，全面给你解读,0,0,0
封面网-官方微博,2021-07-24:2021-07-25,50,2,双减政策,4662977132760013,5509810414,【#一张图看懂中国教培行业多大规模# 2020年13家教培机构上市 】教培“双减”政策已经落地，将规范校外培训以强化学校教育主阵地作用。由一家网站整理的中国教培行业图谱显示，在2020年已经有13家教培机构成功上市，融资达到150+亿美金。#双减意见如何规范学生作业和校外培训##教育部十答如何推进双减工作# @新浪财经 @头条新闻 @财经网 L共富财经的微博视频 收起d,1,1,4
假才女千千,2021-07-24:2021-07-25,50,2,双减政策,4662976399284186,2350101861,#双减# 政策是好的，但像广州民办补录还可以学校自己选择，公办还有重点班，把培训班关了就真能减负？另外就算政策执行的非常好，减负了，大家就会去生孩子?现代社会可以追求的太多了，这边钱省下了，可能去玩去享受了，可不一定去生孩子啊。,0,0,2
好未来TAL_,2021-07-24:2021-07-25,50,2,双减政策,4662976114069975,6508524743,好未来 TAL “双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压，点击链接查看更多->O“双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压,0,0,0
xiatian___,2021-07-24:2021-07-25,50,2,双减政策,4662976081039377,1659774464,"“双减政策”严禁教培机构资本化，A股K12教育概念股何去何从
O网页链接 分享自@和讯网#和讯网#",0,0,0
科斯伍德sz300192,2021-07-24:2021-07-25,50,3,双减政策,4662975677861856,6502069927,科德教育 sz300192 “双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压，点击链接查看更多->O“双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压,0,0,0
勤上股份sz002638,2021-07-24:2021-07-25,50,3,双减政策,4662975610751663,6502046796,勤上股份 sz002638 “双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压，点击链接查看更多->O“双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压,0,0,0
勤上股份sz002638,2021-07-24:2021-07-25,50,3,双减政策,4662975607342782,6502046796,勤上股份 sz002638 勤上股份：“双减政策”将对全资子公司龙文教育业务产生重大影响，点击链接查看更多->O勤上股份：“双减政策”将对全资子公司龙文教育业务产生重大影响,1,0,0
ST紫学sz000526,2021-07-24:2021-07-25,50,3,双减政策,4662975493312317,6501692189,学大教育 sz000526 “双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压，点击链接查看更多->O“双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压,1,0,0
组合式音标,2021-07-24:2021-07-25,50,3,双减政策,4662975157506798,5684874005,双减政策落地：校外培训面临生死挑战 行业新人被父母催转行 O双减政策落地：校外培训面临生死挑战 行业新人被父母催转行,0,0,0
业余宽客,2021-07-24:2021-07-25,50,3,双减政策,4662974155590631,3370388762,"谁能想到马云三年前的玩笑话：“三年后教育在，新东方不在。”如今似乎真要变成现实了。
#双减政策# #教育部十答如何推进双减工作# L业余宽客的微博视频",57,192,1148
Bluesalted,2021-07-24:2021-07-25,50,4,双减政策,4662972968341422,5155692052,从双减政策开始fzy和我的日常就是maimai 2北京,0,0,0
方新侠··,2021-07-24:2021-07-25,50,4,双减政策,4662972670280533,5820147506,"明天大盘怎么走？我看继续调整的面大！别看美股周五反弹，但中概股全线暴跌，A50期指也不跟涨收跌。除了这个还有几个利空，双减政策落地，社保减持人保套现50亿，上海加码调控房地产房贷利率，水井坊二季度亏损4213万元。局部利空还是明显的。上周五大盘放量收阴线，个股普跌，所以7月最后一周，依然难有起色，而且个股风险很大，继续保持谨慎！

大盘调整多数板块没得玩了，下周主要看两块，一块是国潮概念，主要是国产品牌服装，国产化妆品，国产奶粉这几块。一块是军工，主要看航空和船舶。老热点，主要是趋势还保持向上的有色钢铁，半导体，锂电产业链等，12-17岁青少年要接种疫苗了，或对疫苗产业链也有点刺激，其他的都需谨慎！ 收起d",0,0,1
X_yasho,2021-07-24:2021-07-25,50,4,双减政策,4662971517897667,2700398914,#双减政策#一堆教培行业的急了，想想吧没有教培之前，能请私教的不还是在请私教。学校教育能满足绝大部分普通人需求。教培的出现导致在校教育资源的流失，在校教育质量的下降，这才是本质。 2长沙·宜居・莱茵城,0,0,0
独爱地瓜粉团,2021-07-24:2021-07-25,50,4,双减政策,4662970048839866,2803972844,【 中信证券 点评“双减”政策：K9学科类培训进入漫长调整期】中信证券7月25日发布研报点评“双减”政策表示，未来K9学科类培训机构或将进入长时间的强监管时代，无论是经营发展还是资本化道路均被限制，同时学前教育培训和高中学科类... 分享自@雪球 O【点评“双减”政策：K9学科类培训进入漫长调整期】中信证券7月25日发布研报点评“双减”政策表示，未来K9学科类培训机构或将进入长时间的强监管时代，无论是经营发展还是资本化道路均被限制，同时学前教育培训和高中学科类培训也出现一定的监管风险，因此建议培训机构向政策更加鼓励的素质教育、职业教育、教育科技等方向转型。关于严禁学科类培训机构资本化，中信证券认为，已上市的机构或面临退市或者剥离学科类业务的风险,0,0,0
Seongseong,2021-07-24:2021-07-25,50,5,双减政策,4662968232975229,1957499607,"南京疫情
“烟花”台风
“双减”政策

🉐 每一个要我好过的
最讨厌改变计划 出行计划改来改去
一波三折 好事多磨吧",0,1,1
羊城晚报金羊网,2021-07-24:2021-07-25,50,5,双减政策,4662967734634097,2131593523,【中办国办发文明确：过重作业负担 校外培训负担 一年内有效减轻】义务教育“双减” 政策落地！近日，中办、国办印发《关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见》。意见要求，学生过重作业负担和校外培训负担、家庭教育支出和家长相应精力负担一年内有效减轻、三年内成效显著。#双减意见如何规范学生作业和校外培训# O义务教育“双减” 政策落地！中办国办 发文明确：过重作业负担 校外培训负担 一年内有效减轻 收起d,0,0,1
用户5826126054,2021-07-24:2021-07-25,50,5,双减政策,4662966706767446,5826126054,#义务教育“双减”政策出台：学科类培训机构一律不得上市融资 严禁资本化运作##O网页链接 (来自@同花顺),0,0,0
拉灯就熄火,2021-07-24:2021-07-25,50,5,双减政策,4662966157578580,1408109162,#双减意见如何规范学生作业和校外培训#学习，一天赋二家教三老师。天赋不看出身，决定效率和创造性；家教看父母观念及言传身教，激发兴趣塑造性格，给予孩子成长空间和心智建设；老师看行业素养，教学大纲确保基础的知识公平，学校赋予组织性和纪律性。教育，不仅只是教授知识，更要启发智慧。真关心孩子的教育，家长要花心思要自律要上进做表率，以往花钱给孩子报班就是重视的观点实不可取。而教培本身并无存在的绝对必要，能绑架全社会也是教育体系不完善，政策导向资本驱使导致全社会不得不承受焦虑的结果，凉了就凉了吧。 收起d,1,0,6
卓尼融媒,2021-07-24:2021-07-25,50,5,双减政策,4662965317933490,7287426572,"进一步减轻义务教育阶段学生作业负担和校外培训负担
人民日报
2021-07-25 00:00
新华社北京7月24日电 近日，中共中央办公厅、国务院办公厅印发了《关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见》，并发出通知，要求各地区各部门结合实际认真贯彻落实。
《关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见》全文如下。

为深入贯彻党的十九大和十九届五中全会精神，切实提升学校育人水平，持续规范校外培训（包括线上培训和线下培训），有效减轻义务教育阶段学生过重作业负担和校外培训负担（以下简称“双减”），现提出如下意见。

一、总体要求

1.指导思想。强化学校教育主阵地作用，深化校外培训机构治理，坚决防止侵害群众利益行为，构建教育良好生态，有效缓解家长焦虑情绪，促进学生全面发展、健康成长。
2.工作原则。坚持学生为本、回应关切，遵循教育规律，着眼学生身心健康成长，保障学生休息权利，整体提升学校教育教学质量，积极回应社会关切与期盼，减轻家长负担；坚持依法治理、标本兼治，严格执行义务教育法、未成年人保护法等法律规定，加强源头治理、系统治理、综合治理；坚持政府主导、多方联动，强化政府统筹，落实部门职责，发挥学校主体作用，健全保障政策，明确家校社协同责任；坚持统筹推进、稳步实施，全面落实国家关于减轻学生过重学业负担有关规定，对重点难点问题先行试点，积极推广典型经验，确保“双减”工作平稳有序。

3.工作目标。学校教育教学质量和服务水平进一步提升，作业布置更加科学合理，学校课后服务基本满足学生需要，学生学习更好回归校园，校外培训机构培训行为全面规范。学生过重作业负担和校外培训负担、家庭教育支出和家长相应精力负担1年内有效减轻、3年内成效显著，人民群众教育满意度明显提升。
二、全面压减作业总量和时长，减轻学生过重作业负担
4.健全作业管理机制。学校要完善作业管理办法，加强学科组、年级组作业统筹，合理调控作业结构，确保难度不超国家课标。建立作业校内公示制度，加强质量监督。严禁给家长布置或变相布置作业，严禁要求家长检查、批改作业。

5.分类明确作业总量。学校要确保小学一、二年级不布置家庭书面作业，可在校内适当安排巩固练习；小学三至六年级书面作业平均完成时间不超过60分钟，初中书面作业平均完成时间不超过90分钟。
6.提高作业设计质量。发挥作业诊断、巩固、学情分析等功能，将作业设计纳入教研体系，系统设计符合年龄特点和学习规律、体现素质教育导向的基础性作业。鼓励布置分层、弹性和个性化作业，坚决克服机械、无效作业，杜绝重复性、惩罚性作业。

7.加强作业完成指导。教师要指导小学生在校内基本完成书面作业，初中生在校内完成大部分书面作业。教师要认真批改作业，及时做好反馈，加强面批讲解，认真分析学情，做好答疑辅导。不得要求学生自批自改作业。

8.科学利用课余时间。学校和家长要引导学生放学回家后完成剩余书面作业，进行必要的课业学习，从事力所能及的家务劳动，开展适宜的体育锻炼，开展阅读和文艺活动。个别学生经努力仍完不成书面作业的，也应按时就寝。引导学生合理使用电子产品，控制使用时长，保护视力健康，防止网络沉迷。家长要积极与孩子沟通，关注孩子心理情绪，帮助其养成良好学习生活习惯。寄宿制学校要统筹安排好课余学习生活。

三、提升学校课后服务水平，满足学生多样化需求

9.保证课后服务时间。学校要充分利用资源优势，有效实施各种课后育人活动，在校内满足学生多样化学习需求。引导学生自愿参加课后服务。课后服务结束时间原则上不早于当地正常下班时间；对有特殊需要的学生，学校应提供延时托管服务；初中学校工作日晚上可开设自习班。学校可统筹安排教师实行“弹性上下班制”。

10.提高课后服务质量。学校要制定课后服务实施方案，增强课后服务的吸引力。充分用好课后服务时间，指导学生认真完成作业，对学习有困难的学生进行补习辅导与答疑，为学有余力的学生拓展学习空间，开展丰富多彩的科普、文体、艺术、劳动、阅读、兴趣小组及社团活动。不得利用课后服务时间讲新课。

11.拓展课后服务渠道。课后服务一般由本校教师承担，也可聘请退休教师、具备资质的社会专业人员或志愿者提供。教育部门可组织区域内优秀教师到师资力量薄弱的学校开展课后服务。依法依规严肃查处教师校外有偿补课行为，直至撤销教师资格。充分利用社会资源，发挥好少年宫、青少年活动中心等校外活动场所在课后服务中的作用。

12.做强做优免费线上学习服务。教育部门要征集、开发丰富优质的线上教育教学资源，利用国家和各地教育教学资源平台以及优质学校网络平台，免费向学生提供高质量专题教育资源和覆盖各年级各学科的学习资源，推动教育资源均衡发展，促进教育公平。各地要积极创造条件，组织优秀教师开展免费在线互动交流答疑。各地各校要加大宣传推广使用力度，引导学生用好免费线上优质教育资源。

四、坚持从严治理，全面规范校外培训行为

13.坚持从严审批机构。各地不再审批新的面向义务教育阶段学生的学科类校外培训机构，现有学科类培训机构统一登记为非营利性机构。对原备案的线上学科类培训机构，改为审批制。各省（自治区、直辖市）要对已备案的线上学科类培训机构全面排查，并按标准重新办理审批手续。未通过审批的，取消原有备案登记和互联网信息服务业务经营许可证（ICP）。对非学科类培训机构，各地要区分体育、文化艺术、科技等类别，明确相应主管部门，分类制定标准、严格审批。依法依规严肃查处不具备相应资质条件、未经审批多址开展培训的校外培训机构。学科类培训机构一律不得上市融资，严禁资本化运作；上市公司不得通过股票市场融资投资学科类培训机构，不得通过发行股份或支付现金等方式购买学科类培训机构资产；外资不得通过兼并收购、受托经营、加盟连锁、利用可变利益实体等方式控股或参股学科类培训机构。已违规的，要进行清理整治。

14.规范培训服务行为。建立培训内容备案与监督制度，制定出台校外培训机构培训材料管理办法。严禁超标超前培训，严禁非学科类培训机构从事学科类培训，严禁提供境外教育课程。依法依规坚决查处超范围培训、培训质量良莠不齐、内容低俗违法、盗版侵权等突出问题。严格执行未成年人保护法有关规定，校外培训机构不得占用国家法定节假日、休息日及寒暑假期组织学科类培训。培训机构不得高薪挖抢学校教师；从事学科类培训的人员必须具备相应教师资格，并将教师资格信息在培训机构场所及网站显著位置公布；不得泄露家长和学生个人信息。根据市场需求、培训成本等因素确定培训机构收费项目和标准，向社会公示、接受监督。全面使用《中小学生校外培训服务合同（示范文本）》。进一步健全常态化排查机制，及时掌握校外培训机构情况及信息，完善“黑白名单”制度。

15.强化常态运营监管。严格控制资本过度涌入培训机构，培训机构融资及收费应主要用于培训业务经营，坚决禁止为推销业务以虚构原价、虚假折扣、虚假宣传等方式进行不正当竞争，依法依规坚决查处行业垄断行为。线上培训要注重保护学生视力，每课时不超过30分钟，课程间隔不少于10分钟，培训结束时间不晚于21点。积极探索利用人工智能技术合理控制学生连续线上培训时间。线上培训机构不得提供和传播“拍照搜题”等惰化学生思维能力、影响学生独立思考、违背教育教学规律的不良学习方法。聘请在境内的外籍人员要符合国家有关规定，严禁聘请在境外的外籍人员开展培训活动。

五、大力提升教育教学质量，确保学生在校内学足学好

16.促进义务教育优质均衡发展。各地要巩固义务教育基本均衡成果，积极开展义务教育优质均衡创建工作，促进新优质学校成长，扩大优质教育资源。积极推进集团化办学、学区化治理和城乡学校共同体建设，充分激发办学活力，整体提升学校办学水平，加快缩小城乡、区域、学校间教育水平差距。

17.提升课堂教学质量。教育部门要指导学校健全教学管理规程，优化教学方式，强化教学管理，提升学生在校学习效率。学校要开齐开足开好国家规定课程，积极推进幼小科学衔接，帮助学生做好入学准备，严格按课程标准零起点教学，做到应教尽教，确保学生达到国家规定的学业质量标准。学校不得随意增减课时、提高难度、加快进度；降低考试压力，改进考试方法，不得有提前结课备考、违规统考、考题超标、考试排名等行为；考试成绩呈现实行等级制，坚决克服唯分数的倾向。

18.深化高中招生改革。各地要积极完善基于初中学业水平考试成绩、结合综合素质评价的高中阶段学校招生录取模式，依据不同科目特点，完善考试方式和成绩呈现方式。坚持以学定考，进一步提升中考命题质量，防止偏题、怪题、超过课程标准的难题。逐步提高优质普通高中招生指标分配到区域内初中的比例，规范普通高中招生秩序，杜绝违规招生、恶性竞争。

19.纳入质量评价体系。地方各级党委和政府要树立正确政绩观，严禁下达升学指标或片面以升学率评价学校和教师。认真落实义务教育质量评价指南，将“双减”工作成效纳入县域和学校义务教育质量评价，把学生参加课后服务、校外培训及培训费用支出减少等情况作为重要评价内容。

六、强化配套治理，提升支撑保障能
。

29.联合开展专项治理行动。建立“双减”工作专门协调机制，集中组织开展专项治理行动。在教育部设立协调机制专门工作机构，做好统筹协调，加强对各地工作指导。各省（自治区、直辖市）要完善工作机制，建立专门工作机构，按照“双减”工作目标任务，明确专项治理行动的路线图、时间表和责任人。突出工作重点、关键环节、薄弱地区、重点对象等，开展全面排查整治。对违法违规行为要依法依规严惩重罚，形成警示震慑。
30.强化督促检查和宣传引导。将落实“双减”工作情况及实际成效，作为督查督办、漠视群众利益专项整治和政府履行教育职责督导评价的重要内容。建立责任追究机制，对责任不落实、措施不到位的地方、部门、学校及相关责任人要依法依规严肃追究责任。各地要设立监管平台和专门举报电话，畅通群众监督举报途径。各省（自治区、直辖市）要及时总结“双减”工作中的好经验好做法，并做好宣传推广。新闻媒体要坚持正确舆论导向，营造良好社会氛围。

各地在做好义务教育阶段学生“双减”工作的同时，还要统筹做好面向3至6岁学龄前儿童和普通高中学生的校外培训治理工作，不得开展面向学龄前儿童的线上培训，严禁以学前班、幼小衔接班、思维训练班等名义面向学龄前儿童开展线下学科类（含外语）培训。不再审批新的面向学龄前儿童的校外培训机构和面向普通高中学生的学科类校外培训机构。对面向普通高中学生的学科类培训机构的管理，参照本意见有关规定执行。 收起d",0,0,0
