text,mid
头痛衣🦶,4662982274980456
人口问题是房价好吗？现在孩子长大成人不给婚房啊…,4662982274980456
别学了,4662981624864566
这个消息是真的？,4662981624864566
江苏不是只有南通试点吗？,4662981624864566
哪里来的消息？,4662981624864566
杭州也是这样吗,4662981624864566
那就是说暑假照样补课呗,4662981624864566
但是我看他们联合倡议说的是义务教育阶段来着,4662981624864566
这个是南京还是全国？,4662981624864566
谁说的,4662981624864566
支持，先把学而思取缔了,4662977460707460
好样的,4662977460707460
能怎么说，难道说要反对？反对也无效啊,4662977460707460
四线城市教育机构 通知建议办理离职 无N+1,4662977132760013
他自己在不在都没看明白,4662974155590631
教学一定不能有外资进入，保持中国政治的纯洁性,4662974155590631
新东方不是厨师吗？,4662974155590631
马云的《胡办学院》也不在了,4662974155590631
补课依然会大量存在,4662974155590631
因为马云曾经当过老师。他肯定能读懂政府。而那个新东方，他是一个私人机构,4662974155590631
唯有公务员百年不变马总都难自保,4662974155590631
干掉新东方,4662974155590631
新东方厨师怎么教书吗,4662974155590631
马云还说他对钱没有兴趣…。,4662974155590631
马云还说过未来最不值钱的就是房子，坐等落实,4662974155590631
一个蛋糕，资本，个人来分。 资本吃饱了要上市，个人没吃饱玩花样。 可怕至极，制造内卷。 资本教育就是城外人要进来，城里人要出去。 恐怕已经丧失教育本质了吧。 辜负了家长，可怜了孩子。 起跑线思想已经根深蒂固。 一下拔出来不可能。,4662974155590631
某些大佬应该认真学一学，要搞明白社会主义必须是国家驾驭资本，不要总妄想着能倒过来。,4662974155590631
补课成本越来越大，孩子学不会的就不学了吗。,4662974155590631
没想到马老师已经不在了,4662974155590631
想阶级固化就去资本主义国家，社会主义国家就应该靠孩子自己能力阶级流动，儿孙自有儿孙福大家让他们自己努力就好。,4662974155590631
新东方不在？新东方也不是靠K12起家的呀。而且人家在转型呢。你们就别跟着瞎操心了。好好想想自己的娃吧。,4662974155590631
666,4662974155590631
回复@myslan:干掉98%就够了,4662974155590631
学位就增加了？升学率就提高了？,4662974155590631
国家是需要大量的劳动力了 而不是脑力,4662974155590631
回复@敦煌树:打击资本过度进入 教育 ~~~ 好像有大量外来资金进入这个行业 ~~~,4662974155590631
马云我说错了，教育不在了,4662974155590631
啊啊啊新东方别倒啊 老师是真的好 很会教 辅导老师也特别有耐心 我的英语语文数学都是靠新东方提上去的,4662974155590631
都对了,4662974155590631
厉害,4662974155590631
什么辣鸡政策，组队去北京闹,4662974155590631
回复@敦煌树:鼓励生孩子啊 没人交养老金来补洞了,4662974155590631
教育本是国之根本，可以整顿没有必要这样一刀切。,4662974155590631
马总先退下了,4662974155590631
有一些人总认为自己比国家聪明 人家都想不到 做这个决定肯定有意义的,4662974155590631
治国理政已经说了，这课外培训要整改的,4662974155590631
你放心，人家高中继续做，雅思，托福，四六级，考研，游学，有很多部门啊，,4662974155590631
都不在了。。。,4662974155590631
谁不是呢哭了,4662968232975229
侠哥说得好，该谨慎的时候要谨慎，短线风险大收益也大，但是谨慎的人能赚大钱,4662961577134040
收到！,4662961577134040
水井坊是比一季度降低四千万，同比是增长的，怎么到你那就是亏损了,4662961577134040
不妨碍提车就好,4662961577134040
四川双马要成为A股下周最靓的仔,4662961577134040
当情况不太好的时候看下跌没错，当突飞猛进上涨的时候提示下跌当风险也没错，总之任何时候看跌A股都是基本策略,4662961577134040
收到,4662961577134040
侠哥,4662961577134040
侠弟你预测的肯定对，明天大好而不妙,4662961577134040
白酒跌，科技涨,4662961577134040
@量化分析官 今日机构热搜 1.贵州茅台 2.宁德时代 3.比亚迪 4.三一重工 5.赣锋锂业 6.隆基股份 7.歌尔股份 8.片仔癀 9.中国平安 10.三安光电 11.东方财富 12.牧原股份 13.五粮液 14.恒瑞医药 15.天齐锂业 16.中远海控 17.招商银行 18.长城汽车 19.立讯精密 20.通威股份 21.阳光电源 22.北方华创,4662961577134040
救命啊,4662961577134040
空仓？,4662961577134040
666,4662961577134040
你一看空，大盘就会蹦达起来,4662961577134040
收到，谢谢,4662961577134040
低开高走,4662961577134040
7777777,4662961577134040
只要有政策，资金，情绪的推动，就算再冷门的板块和方向也能火爆,4662961577134040
周五和6月11日走势相似……个人观点,4662961577134040
谢谢666,4662961577134040
六六六,4662961577134040
